employee_id,project_name,client_name,start_date,end_date,billable
201101,Desktop Automation Support,Internal,2018-01-14,2018-10-07,False
201112,Global Account Pitching,TechGiant,2018-03-09,2021-02-14,True
201116,Global Account Pitching,TechGiant,2018-02-14,,True
201125,Penetration Testing,Accenture,2018-06-20,2020-10-15,True
201137,DataHub Predictive,JP Morgan,2018-06-12,2022-01-13,True
201141,CloudMigrate v2,Oracle,2018-07-01,,True
201145,DevOps Automation,Internal,2018-10-08,,False
201146,Kubernetes Migration,Infosys,2018-05-06,,True
201161,Global Account Pitching,TechGiant,2018-10-10,2026-02-27,True
201182,Sentinel Security,Deloitte,2018-09-27,,True
201187,Phoenix Rewrite,Google,2018-03-16,,True
201203,Desktop Automation Support,Internal,2018-10-08,,False
201205,CRM Integration,Salesforce,2018-08-17,2024-01-20,True
201207,Recruitment Automation,Internal,2018-05-13,,False
201210,Tax Calculator Portal,Internal,2018-04-16,,False
201217,Retail Analytics,Adobe,2018-05-13,2018-12-22,True
201220,CloudMigrate v2,Oracle,2018-12-17,,True
201229,Recruitment Automation,Internal,2018-01-31,2025-11-02,False
201240,DataHub Predictive,JP Morgan,2018-08-02,,True
201264,Recruitment Automation,Internal,2018-03-16,,False
201289,Apollo Core,Microsoft,2018-07-02,2024-07-03,True
201294,SLA Helpdesk Migration,TelcoGroup,2018-06-01,,True
201299,Recruitment Automation,Internal,2018-04-25,,False
201306,Global Account Pitching,TechGiant,2018-03-31,,True
201319,DevOps Automation,Internal,2018-07-01,,False
201327,Orion API,Amazon,2018-06-07,,True
201334,Global Account Pitching,TechGiant,2018-02-18,2018-10-15,True
201335,Penetration Testing,Accenture,2018-08-22,,True
201343,Tax Calculator Portal,Internal,2018-12-25,2024-07-31,False
201346,Orion API,Amazon,2018-12-06,2022-01-22,True
201378,Desktop Automation Support,Internal,2018-05-26,,False
201389,Desktop Automation Support,Internal,2018-01-14,2018-09-28,False
201402,Ledger Reconciliation,TCS,2018-12-16,,True
201417,Phoenix Rewrite,Google,2018-07-05,,True
201418,DevOps Automation,Internal,2018-01-03,,False
201423,Desktop Automation Support,Internal,2018-03-18,2018-10-01,False
201426,Tax Calculator Portal,Internal,2018-05-22,,False
201437,Sentinel Security,Deloitte,2018-12-04,,True
201445,Retail Analytics,Adobe,2018-08-17,,True
201446,Recruitment Automation,Internal,2018-05-06,,False
201459,CRM Integration,Salesforce,2018-09-10,2021-05-13,True
201494,Orion API,Amazon,2018-02-07,2018-12-01,True
201500,AI Recommendation Engine,Internal,2018-02-15,2018-08-28,False
201507,CloudMigrate v2,Oracle,2018-04-27,2021-03-10,True
201509,Desktop Automation Support,Internal,2018-03-22,2018-11-03,False
201516,Global Account Pitching,TechGiant,2018-02-16,2018-12-22,True
201518,AI Recommendation Engine,Internal,2018-01-23,2025-11-05,False
201521,Phoenix Rewrite,Google,2018-02-21,2018-11-13,True
201567,SLA Helpdesk Migration,TelcoGroup,2018-11-13,,True
201577,Kubernetes Migration,Infosys,2018-05-23,,True
201593,Tax Calculator Portal,Internal,2018-10-30,,False
201597,SEO & Content Campaign,Internal,2018-10-29,,False
201603,Retail Analytics,Adobe,2018-01-31,2018-11-13,True
201615,Retail Analytics,Adobe,2018-05-15,,True
201623,Desktop Automation Support,Internal,2018-08-23,,False
201626,Ledger Reconciliation,TCS,2018-03-22,2018-11-26,True
201632,SEO & Content Campaign,Internal,2018-09-12,,False
201633,CRM Integration,Salesforce,2018-07-09,,True
201644,Penetration Testing,Accenture,2018-05-08,2021-12-27,True
201646,Penetration Testing,Accenture,2018-11-04,,True
201649,DataHub Predictive,JP Morgan,2018-01-12,2018-08-06,True
201660,Sentinel Security,Deloitte,2018-07-27,2018-10-11,True
201662,Orion API,Amazon,2018-11-28,2018-12-23,True
201665,Phoenix Rewrite,Google,2018-01-19,,True
201703,Retail Analytics,Adobe,2018-05-26,2018-12-14,True
201705,Sentinel Security,Deloitte,2018-03-13,2025-03-19,True
201716,Ledger Reconciliation,TCS,2018-11-04,,True
201720,Kubernetes Migration,Infosys,2018-10-07,,True
201735,Global Account Pitching,TechGiant,2018-04-25,,True
201737,PeopleLens Portal,Internal,2018-03-18,2018-10-26,False
201740,PeopleLens Portal,Internal,2018-09-14,,False
201742,Kubernetes Migration,Infosys,2018-09-03,,True
201756,Vulnerability Patcher,Internal,2018-08-30,,False
201763,Ledger Reconciliation,TCS,2018-11-26,,True
201768,Global Account Pitching,TechGiant,2018-08-22,2021-01-21,True
201773,Retail Analytics,Adobe,2018-05-12,,True
201776,DataHub Predictive,JP Morgan,2018-01-26,,True
201777,CRM Integration,Salesforce,2018-02-24,2018-11-11,True
201789,SEO & Content Campaign,Internal,2018-01-13,2018-11-27,False
201802,DevOps Automation,Internal,2018-07-05,2022-05-30,False
201803,Tax Calculator Portal,Internal,2018-06-29,,False
201807,CRM Integration,Salesforce,2018-10-16,,True
201808,PeopleLens Portal,Internal,2018-08-28,,False
201819,Recruitment Automation,Internal,2018-06-06,,False
201867,CRM Integration,Salesforce,2018-04-30,2018-11-01,True
201871,DevOps Automation,Internal,2018-09-10,2024-06-13,False
201874,Sentinel Security,Deloitte,2018-04-07,2018-12-23,True
201900,DevOps Automation,Internal,2018-12-26,,False
201906,Digital Brand Relaunch,RetailCorp,2018-04-24,,True
201913,Sentinel Security,Deloitte,2018-09-29,,True
201915,Ledger Reconciliation,TCS,2018-07-04,,True
201917,Desktop Automation Support,Internal,2018-08-06,,False
201918,Sentinel Security,Deloitte,2018-09-03,,True
201924,Retail Analytics,Adobe,2018-02-18,,True
201925,Global Account Pitching,TechGiant,2018-03-12,2018-05-18,True
201950,AI Recommendation Engine,Internal,2018-01-12,2018-10-12,False
201956,Sentinel Security,Deloitte,2018-03-16,,True
201961,Orion API,Amazon,2018-05-13,,True
201968,Tax Calculator Portal,Internal,2018-08-25,,False
201971,Sentinel Security,Deloitte,2018-01-08,2022-09-06,True
201975,Ledger Reconciliation,TCS,2018-06-22,,True
201990,Phoenix Rewrite,Google,2018-05-22,,True
202004,Recruitment Automation,Internal,2018-11-23,,False
202009,Apollo Core,Microsoft,2018-03-04,2018-11-06,True
202013,PeopleLens Portal,Internal,2018-03-31,,False
202023,Recruitment Automation,Internal,2018-04-17,,False
202029,CloudMigrate v2,Oracle,2018-07-04,,True
202042,Recruitment Automation,Internal,2018-02-28,,False
202046,CRM Integration,Salesforce,2018-02-11,2018-12-30,True
202052,SEO & Content Campaign,Internal,2018-10-17,,False
202057,SEO & Content Campaign,Internal,2018-11-03,,False
202060,Phoenix Rewrite,Google,2018-07-02,,True
202062,DevOps Automation,Internal,2018-11-06,,False
202065,Tax Calculator Portal,Internal,2018-10-01,,False
202077,CRM Integration,Salesforce,2018-05-16,2024-10-12,True
202093,Digital Brand Relaunch,RetailCorp,2018-03-03,2018-10-18,True
202111,CRM Integration,Salesforce,2018-08-08,,True
202126,PeopleLens Portal,Internal,2018-01-06,,False
202131,Vulnerability Patcher,Internal,2018-06-18,2024-01-31,False
202144,Ledger Reconciliation,TCS,2018-07-10,,True
202176,SLA Helpdesk Migration,TelcoGroup,2018-04-02,2018-10-05,True
202177,Vulnerability Patcher,Internal,2018-12-11,,False
202186,SEO & Content Campaign,Internal,2018-01-23,2018-08-16,False
202197,Vulnerability Patcher,Internal,2018-03-23,,False
202203,CloudMigrate v2,Oracle,2018-12-25,,True
202204,Desktop Automation Support,Internal,2018-07-21,,False
202206,PeopleLens Portal,Internal,2018-08-01,,False
202218,CloudMigrate v2,Oracle,2018-07-11,2022-11-02,True
202220,Ledger Reconciliation,TCS,2018-02-28,,True
202223,PeopleLens Portal,Internal,2018-12-26,,False
202228,Ledger Reconciliation,TCS,2018-07-23,2018-11-08,True
202244,SEO & Content Campaign,Internal,2018-04-03,,False
202248,SLA Helpdesk Migration,TelcoGroup,2018-11-27,,True
202257,PeopleLens Portal,Internal,2018-07-30,,False
202262,CloudMigrate v2,Oracle,2018-07-12,,True
202268,Sentinel Security,Deloitte,2018-01-05,2018-11-30,True
202269,Global Account Pitching,TechGiant,2018-05-05,2018-12-25,True
202270,Retail Analytics,Adobe,2018-05-29,,True
202290,DevOps Automation,Internal,2018-03-27,,False
202320,SEO & Content Campaign,Internal,2018-12-27,,False
202323,Kubernetes Migration,Infosys,2018-10-29,,True
202330,Global Account Pitching,TechGiant,2018-08-22,,True
202331,Ledger Reconciliation,TCS,2018-02-07,2018-05-09,True
202334,Kubernetes Migration,Infosys,2018-03-23,,True
202343,Apollo Core,Microsoft,2018-09-19,,True
202354,SEO & Content Campaign,Internal,2018-06-05,2018-12-09,False
202356,Penetration Testing,Accenture,2018-08-10,,True
202363,CRM Integration,Salesforce,2018-01-31,2018-09-24,True
202368,Apollo Core,Microsoft,2018-07-27,,True
202374,CRM Integration,Salesforce,2018-02-08,,True
202389,AI Recommendation Engine,Internal,2018-12-05,2021-04-01,False
202422,SEO & Content Campaign,Internal,2018-03-11,,False
202424,Sentinel Security,Deloitte,2018-04-22,2019-03-11,True
202442,Recruitment Automation,Internal,2018-10-31,,False
202443,PeopleLens Portal,Internal,2018-09-11,,False
202464,Phoenix Rewrite,Google,2018-06-22,,True
202470,Penetration Testing,Accenture,2018-09-06,,True
202477,Digital Brand Relaunch,RetailCorp,2018-07-01,,True
202492,CloudMigrate v2,Oracle,2018-11-16,,True
202512,Sentinel Security,Deloitte,2018-01-16,2022-12-21,True
202519,Ledger Reconciliation,TCS,2018-04-05,,True
202529,AI Recommendation Engine,Internal,2018-10-05,,False
202531,Recruitment Automation,Internal,2018-06-24,,False
202532,Phoenix Rewrite,Google,2018-03-04,,True
202535,PeopleLens Portal,Internal,2018-08-30,,False
202549,Kubernetes Migration,Infosys,2018-02-18,,True
202553,Vulnerability Patcher,Internal,2018-08-30,,False
202554,Sentinel Security,Deloitte,2018-01-16,,True
202562,Retail Analytics,Adobe,2018-05-10,,True
202565,SEO & Content Campaign,Internal,2018-12-06,,False
202579,CloudMigrate v2,Oracle,2018-10-13,,True
202585,DataHub Predictive,JP Morgan,2018-04-22,2018-12-05,True
202598,Penetration Testing,Accenture,2018-06-16,,True
202604,Tax Calculator Portal,Internal,2018-10-27,,False
202605,Ledger Reconciliation,TCS,2018-02-03,2018-11-18,True
202625,Recruitment Automation,Internal,2018-02-20,,False
202637,Kubernetes Migration,Infosys,2018-06-28,,True
202638,PeopleLens Portal,Internal,2018-06-08,2024-05-10,False
202639,Orion API,Amazon,2018-04-23,,True
202643,Global Account Pitching,TechGiant,2018-03-14,,True
202646,SLA Helpdesk Migration,TelcoGroup,2018-01-19,2018-11-28,True
202660,Digital Brand Relaunch,RetailCorp,2018-04-12,,True
202667,Tax Calculator Portal,Internal,2018-02-02,,False
202671,Recruitment Automation,Internal,2018-09-26,2025-02-02,False
202672,SLA Helpdesk Migration,TelcoGroup,2018-03-27,,True
202673,Retail Analytics,Adobe,2018-10-03,2023-12-06,True
202679,Tax Calculator Portal,Internal,2018-12-30,2021-08-30,False
202681,Desktop Automation Support,Internal,2018-09-28,2021-06-27,False
202686,Sentinel Security,Deloitte,2018-12-21,,True
202697,Vulnerability Patcher,Internal,2018-09-07,2021-01-22,False
202708,Sentinel Security,Deloitte,2018-10-20,,True
202713,Retail Analytics,Adobe,2018-03-26,2018-10-29,True
202740,DataHub Predictive,JP Morgan,2018-11-04,2018-12-16,True
202745,Digital Brand Relaunch,RetailCorp,2018-10-06,2024-06-07,True
202754,SLA Helpdesk Migration,TelcoGroup,2018-11-21,2020-04-17,True
202755,PeopleLens Portal,Internal,2018-02-28,,False
202781,Kubernetes Migration,Infosys,2018-03-23,,True
202786,SEO & Content Campaign,Internal,2018-12-24,,False
202790,Ledger Reconciliation,TCS,2018-05-12,,True
202794,Apollo Core,Microsoft,2018-01-21,,True
202817,Desktop Automation Support,Internal,2018-06-28,,False
202825,Orion API,Amazon,2018-09-16,2020-08-09,True
202827,DataHub Predictive,JP Morgan,2018-08-22,,True
202853,SLA Helpdesk Migration,TelcoGroup,2018-03-06,,True
202883,Apollo Core,Microsoft,2018-05-16,,True
202884,Apollo Core,Microsoft,2018-10-05,2024-06-12,True
202897,Ledger Reconciliation,TCS,2018-12-05,,True
202899,Sentinel Security,Deloitte,2018-03-30,,True
202920,SEO & Content Campaign,Internal,2018-05-03,,False
202926,CloudMigrate v2,Oracle,2018-10-08,,True
202927,SLA Helpdesk Migration,TelcoGroup,2018-08-31,,True
202953,Global Account Pitching,TechGiant,2018-12-10,,True
202956,Digital Brand Relaunch,RetailCorp,2018-10-22,,True
202960,Desktop Automation Support,Internal,2018-05-30,2020-07-11,False
202961,Desktop Automation Support,Internal,2018-11-29,,False
202967,DevOps Automation,Internal,2018-06-26,,False
202968,CRM Integration,Salesforce,2018-03-07,2018-09-19,True
203004,Desktop Automation Support,Internal,2018-08-03,2023-09-05,False
203013,DataHub Predictive,JP Morgan,2018-10-22,,True
203018,SLA Helpdesk Migration,TelcoGroup,2018-07-12,,True
203027,Kubernetes Migration,Infosys,2018-02-25,,True
203035,PeopleLens Portal,Internal,2018-11-29,,False
203043,Ledger Reconciliation,TCS,2018-06-26,,True
203051,AI Recommendation Engine,Internal,2018-01-19,2018-09-21,False
203058,Digital Brand Relaunch,RetailCorp,2018-03-01,2018-11-04,True
203061,DataHub Predictive,JP Morgan,2018-11-05,,True
203062,Desktop Automation Support,Internal,2018-09-03,,False
203064,Ledger Reconciliation,TCS,2018-05-22,,True
203072,Kubernetes Migration,Infosys,2018-05-02,,True
203073,Global Account Pitching,TechGiant,2018-03-05,,True
203074,PeopleLens Portal,Internal,2018-08-27,,False
203077,Orion API,Amazon,2018-10-18,,True
203086,Global Account Pitching,TechGiant,2018-09-21,,True
203100,PeopleLens Portal,Internal,2018-12-13,,False
203104,DataHub Predictive,JP Morgan,2018-02-23,2018-10-23,True
203113,CRM Integration,Salesforce,2018-12-31,,True
203149,Desktop Automation Support,Internal,2018-02-07,,False
203152,CRM Integration,Salesforce,2018-12-01,,True
203167,Phoenix Rewrite,Google,2018-11-29,,True
203180,SLA Helpdesk Migration,TelcoGroup,2018-02-21,,True
203187,Phoenix Rewrite,Google,2018-04-24,,True
203197,PeopleLens Portal,Internal,2018-12-10,,False
203200,Orion API,Amazon,2018-05-25,,True
203216,Digital Brand Relaunch,RetailCorp,2018-03-25,,True
203241,Retail Analytics,Adobe,2018-12-01,,True
203248,Phoenix Rewrite,Google,2018-08-28,,True
203259,Tax Calculator Portal,Internal,2018-05-06,,False
203281,Recruitment Automation,Internal,2018-05-30,,False
203290,Ledger Reconciliation,TCS,2018-02-27,2020-07-29,True
203294,CRM Integration,Salesforce,2018-08-08,,True
203305,AI Recommendation Engine,Internal,2018-06-09,,False
203309,DevOps Automation,Internal,2018-02-24,2018-10-26,False
203321,AI Recommendation Engine,Internal,2018-11-10,,False
203340,CRM Integration,Salesforce,2018-02-12,2018-11-27,True
203347,AI Recommendation Engine,Internal,2018-07-20,,False
203354,Phoenix Rewrite,Google,2018-11-25,,True
203362,Tax Calculator Portal,Internal,2018-04-23,,False
203367,PeopleLens Portal,Internal,2018-06-29,,False
203378,SEO & Content Campaign,Internal,2018-04-13,,False
203383,SEO & Content Campaign,Internal,2018-11-19,,False
203388,CloudMigrate v2,Oracle,2018-12-15,,True
203403,Desktop Automation Support,Internal,2018-05-13,,False
203408,Desktop Automation Support,Internal,2018-08-28,,False
203415,Orion API,Amazon,2018-12-21,,True
203426,SEO & Content Campaign,Internal,2018-05-10,,False
203431,Phoenix Rewrite,Google,2018-12-28,,True
203441,Tax Calculator Portal,Internal,2018-08-28,,False
203474,Recruitment Automation,Internal,2018-06-01,,False
203484,CRM Integration,Salesforce,2018-01-24,2018-10-28,True
203489,Global Account Pitching,TechGiant,2018-08-29,,True
203501,Vulnerability Patcher,Internal,2018-07-01,,False
203515,AI Recommendation Engine,Internal,2018-11-13,2020-04-06,False
203565,Tax Calculator Portal,Internal,2018-01-11,2018-09-27,False
203569,DataHub Predictive,JP Morgan,2018-07-08,,True
203571,Recruitment Automation,Internal,2018-12-30,,False
203584,CRM Integration,Salesforce,2018-07-05,,True
203594,Kubernetes Migration,Infosys,2018-01-17,2023-09-08,True
203610,DataHub Predictive,JP Morgan,2018-06-01,,True
203615,Ledger Reconciliation,TCS,2018-01-25,,True
203620,Ledger Reconciliation,TCS,2018-02-08,,True
203627,DevOps Automation,Internal,2018-11-17,,False
203650,Phoenix Rewrite,Google,2018-06-14,,True
203664,Digital Brand Relaunch,RetailCorp,2018-09-17,,True
203703,CRM Integration,Salesforce,2018-04-20,,True
203718,CRM Integration,Salesforce,2018-11-11,,True
203722,Vulnerability Patcher,Internal,2018-08-20,,False
203737,DevOps Automation,Internal,2018-04-17,2018-10-22,False
203743,Tax Calculator Portal,Internal,2018-05-31,,False
203748,SLA Helpdesk Migration,TelcoGroup,2018-07-18,,True
203754,Ledger Reconciliation,TCS,2018-01-17,,True
203766,SLA Helpdesk Migration,TelcoGroup,2018-06-10,,True
203777,Kubernetes Migration,Infosys,2018-06-20,2022-06-30,True
203785,CloudMigrate v2,Oracle,2018-04-02,2018-10-11,True
203787,CloudMigrate v2,Oracle,2018-02-19,2018-09-15,True
203796,DataHub Predictive,JP Morgan,2018-03-12,,True
203798,SLA Helpdesk Migration,TelcoGroup,2018-01-17,,True
203810,Sentinel Security,Deloitte,2018-02-08,2025-05-09,True
203811,Digital Brand Relaunch,RetailCorp,2018-07-28,2021-03-30,True
203813,Desktop Automation Support,Internal,2018-06-11,,False
203823,Digital Brand Relaunch,RetailCorp,2018-03-15,,True
203834,Kubernetes Migration,Infosys,2018-12-22,,True
203858,AI Recommendation Engine,Internal,2018-05-05,2018-09-14,False
203869,PeopleLens Portal,Internal,2018-01-08,2018-08-03,False
203872,AI Recommendation Engine,Internal,2018-10-23,,False
203889,DevOps Automation,Internal,2018-10-19,,False
203892,AI Recommendation Engine,Internal,2018-02-28,2018-10-02,False
203900,Recruitment Automation,Internal,2018-11-30,2023-04-19,False
203901,DataHub Predictive,JP Morgan,2018-05-03,2018-12-07,True
203902,SEO & Content Campaign,Internal,2018-12-13,,False
203905,Recruitment Automation,Internal,2018-02-11,2018-12-22,False
203910,PeopleLens Portal,Internal,2018-01-30,2018-08-07,False
203923,Global Account Pitching,TechGiant,2018-04-25,2018-11-19,True
203929,DataHub Predictive,JP Morgan,2018-06-10,,True
203933,DataHub Predictive,JP Morgan,2018-12-03,2019-05-21,True
203949,Sentinel Security,Deloitte,2018-03-21,,True
203955,Vulnerability Patcher,Internal,2018-01-19,2018-07-18,False
203956,Desktop Automation Support,Internal,2018-05-27,,False
203962,PeopleLens Portal,Internal,2018-11-23,,False
203965,SEO & Content Campaign,Internal,2018-04-16,,False
203974,PeopleLens Portal,Internal,2018-06-11,,False
203975,Global Account Pitching,TechGiant,2018-05-12,,True
203991,Desktop Automation Support,Internal,2018-10-11,,False
203995,SEO & Content Campaign,Internal,2018-07-02,,False
204003,Ledger Reconciliation,TCS,2018-05-05,,True
204006,Kubernetes Migration,Infosys,2018-06-29,,True
204009,Kubernetes Migration,Infosys,2018-10-22,,True
204020,PeopleLens Portal,Internal,2018-10-02,2020-09-04,False
204033,Kubernetes Migration,Infosys,2018-12-30,2021-01-08,True
204036,Phoenix Rewrite,Google,2018-09-11,,True
204043,SEO & Content Campaign,Internal,2018-07-18,,False
204046,Sentinel Security,Deloitte,2018-05-05,,True
204059,DevOps Automation,Internal,2018-01-15,,False
204062,CRM Integration,Salesforce,2018-11-21,,True
204067,CloudMigrate v2,Oracle,2018-09-19,2021-11-24,True
204074,Global Account Pitching,TechGiant,2018-12-05,,True
