exit_id,employee_id,exit_date,exit_reason,voluntary
700093,200543,2025-12-29,Compensation,Yes
700094,200547,2026-04-07,Career Growth,Yes
700095,200554,2024-01-18,Better Opportunity,Yes
700096,200583,2021-10-23,Career Growth,Yes
700097,200588,2025-12-17,Personal Reasons,Yes
700098,200600,2020-10-22,Relocation,Yes
700099,200608,2019-05-09,Personal Reasons,Yes
700100,200611,2023-01-08,Career Growth,Yes
700101,200616,2023-03-14,Relocation,Yes
700102,200620,2025-07-18,Compensation,Yes
700103,200627,2021-02-18,Performance Issues,No
700104,200634,2024-08-26,Compensation,Yes
700105,200640,2024-11-05,Relocation,Yes
700106,200647,2026-04-08,Compensation,Yes
700107,200650,2024-03-23,Better Opportunity,Yes
700108,200654,2024-12-01,Better Opportunity,Yes
700109,200658,2022-01-03,Compensation,Yes
700110,200663,2024-09-14,Career Growth,Yes
700111,200666,2025-12-25,Personal Reasons,Yes
700112,200715,2025-10-12,Career Growth,Yes
700113,200719,2024-03-12,Compensation,Yes
700114,200736,2020-07-08,Compensation,Yes
700115,200741,2025-10-21,Better Opportunity,Yes
700116,200750,2024-05-24,Personal Reasons,Yes
700117,200753,2024-05-22,Personal Reasons,Yes
700118,200757,2026-01-04,Compensation,Yes
700119,200777,2025-06-02,Better Opportunity,Yes
700120,200779,2026-06-01,Career Growth,Yes
700121,200784,2025-07-18,Better Opportunity,Yes
700122,200804,2025-07-19,Performance Issues,No
700123,200805,2026-07-03,Performance Issues,No
700124,200810,2026-05-28,Better Opportunity,Yes
700125,200829,2021-11-15,Career Growth,Yes
700126,200830,2026-04-29,Better Opportunity,Yes
700127,200835,2023-08-04,Better Opportunity,Yes
700128,200844,2026-06-09,Higher Education,Yes
700129,200855,2021-09-21,Compensation,Yes
700130,200861,2026-02-14,Career Growth,Yes
700131,200864,2025-03-24,Career Growth,Yes
700132,200879,2019-05-22,Better Opportunity,Yes
700133,200882,2026-05-02,Compensation,Yes
700134,200897,2023-02-27,Career Growth,Yes
700135,200900,2019-05-20,Better Opportunity,Yes
700136,200913,2024-03-10,Career Growth,Yes
700137,200924,2025-09-22,Career Growth,Yes
700138,200925,2022-07-10,Performance Issues,No
700139,200928,2025-09-09,Better Opportunity,Yes
700140,200937,2026-06-10,Career Growth,Yes
700141,200945,2023-01-19,Career Growth,Yes
700142,200949,2026-06-30,Better Opportunity,Yes
700143,200957,2021-07-06,Better Opportunity,Yes
700144,200961,2021-08-28,Better Opportunity,Yes
700145,200962,2025-03-30,Better Opportunity,Yes
700146,200967,2021-11-25,Better Opportunity,Yes
700147,200968,2023-03-16,Better Opportunity,Yes
700148,200971,2020-09-25,Personal Reasons,Yes
700149,200974,2026-03-02,Personal Reasons,Yes
700150,201002,2026-01-01,Compensation,Yes
700151,201005,2025-01-07,Career Growth,Yes
700152,201006,2026-05-17,Better Opportunity,Yes
700153,201010,2024-01-21,Career Growth,Yes
700154,201012,2026-05-29,Personal Reasons,Yes
700155,201016,2025-02-18,Career Growth,Yes
700156,201019,2026-02-23,Better Opportunity,Yes
700157,201023,2023-07-01,Career Growth,Yes
700158,201026,2025-04-29,Performance Issues,No
700159,201027,2024-02-09,Compensation,Yes
700160,201031,2025-01-08,Compensation,Yes
700161,201035,2024-12-22,Better Opportunity,Yes
700162,201057,2026-01-03,Personal Reasons,Yes
700163,201059,2023-03-31,Compensation,Yes
700164,201062,2024-08-10,Career Growth,Yes
700165,201063,2026-03-21,Better Opportunity,Yes
700166,201065,2025-09-07,Personal Reasons,Yes
700167,201068,2025-01-16,Relocation,Yes
700168,201072,2025-03-04,Better Opportunity,Yes
700169,201078,2025-11-27,Compensation,Yes
700170,201084,2024-11-07,Personal Reasons,Yes
700171,201091,2026-05-01,Career Growth,Yes
700172,201095,2026-01-14,Personal Reasons,Yes
700173,201097,2025-04-20,Better Opportunity,Yes
700174,201102,2022-02-08,Better Opportunity,Yes
700175,201124,2021-04-02,Career Growth,Yes
700176,201131,2023-08-13,Relocation,Yes
700177,201136,2024-05-12,Relocation,Yes
700178,201138,2026-06-12,Better Opportunity,Yes
700179,201152,2023-09-15,Compensation,Yes
700180,201158,2026-03-08,Better Opportunity,Yes
700181,201159,2020-10-07,Better Opportunity,Yes
700182,201175,2022-02-12,Personal Reasons,Yes
700183,201182,2025-09-30,Career Growth,Yes
700184,201195,2025-01-25,Better Opportunity,Yes
700185,201202,2023-05-06,Better Opportunity,Yes
700186,201205,2021-12-22,Career Growth,Yes
700187,201225,2020-02-14,Career Growth,Yes
700188,201228,2025-12-08,Career Growth,Yes
700189,201229,2024-04-12,Personal Reasons,Yes
700190,201237,2026-03-08,Career Growth,Yes
700191,201238,2024-01-24,Compensation,Yes
700192,201242,2021-10-30,Higher Education,Yes
700193,201244,2025-12-24,Better Opportunity,Yes
700194,201246,2026-02-23,Compensation,Yes
700195,201271,2020-08-12,Compensation,Yes
700196,201277,2025-10-18,Better Opportunity,Yes
700197,201280,2025-10-20,Better Opportunity,Yes
700198,201281,2020-03-26,Career Growth,Yes
700199,201285,2023-04-28,Performance Issues,No
700200,201292,2025-10-22,Better Opportunity,Yes
700201,201293,2021-03-29,Career Growth,Yes
700202,201306,2021-08-29,Better Opportunity,Yes
700203,201307,2022-08-09,Better Opportunity,Yes
700204,201308,2025-09-27,Performance Issues,No
700205,201309,2024-09-04,Better Opportunity,Yes
700206,201322,2024-12-21,Compensation,Yes
700207,201325,2026-06-04,Higher Education,Yes
700208,201332,2024-07-24,Career Growth,Yes
700209,201333,2025-03-28,Relocation,Yes
700210,201336,2022-09-20,Better Opportunity,Yes
700211,201360,2022-08-01,Compensation,Yes
700212,201364,2023-12-24,Career Growth,Yes
700213,201367,2026-06-02,Compensation,Yes
700214,201369,2026-05-16,Performance Issues,No
700215,201379,2026-06-21,Better Opportunity,Yes
700216,201385,2024-08-14,Better Opportunity,Yes
700217,201399,2022-09-06,Compensation,Yes
700218,201400,2022-08-16,Relocation,Yes
700219,201403,2025-12-05,Better Opportunity,Yes
700220,201414,2025-06-20,Better Opportunity,Yes
700221,201424,2024-03-06,Better Opportunity,Yes
700222,201427,2024-08-08,Personal Reasons,Yes
700223,201437,2025-03-16,Better Opportunity,Yes
700224,201438,2025-08-08,Career Growth,Yes
700225,201439,2026-05-15,Higher Education,Yes
700226,201444,2024-04-29,Relocation,Yes
700227,201452,2022-06-20,Performance Issues,No
700228,201463,2025-10-24,Better Opportunity,Yes
700229,201465,2024-04-30,Better Opportunity,Yes
700230,201490,2025-05-24,Career Growth,Yes
700231,201492,2021-10-20,Career Growth,Yes
700232,201499,2026-06-23,Compensation,Yes
700233,201501,2023-08-13,Higher Education,Yes
700234,201504,2025-07-04,Compensation,Yes
700235,201505,2025-02-01,Better Opportunity,Yes
700236,201506,2026-02-14,Better Opportunity,Yes
700237,201507,2026-03-07,Higher Education,Yes
700238,201519,2026-05-07,Personal Reasons,Yes
700239,201522,2024-12-03,Better Opportunity,Yes
700240,201524,2023-11-17,Career Growth,Yes
700241,201540,2023-11-02,Compensation,Yes
700242,201551,2024-12-01,Personal Reasons,Yes
700243,201564,2022-04-12,Personal Reasons,Yes
700244,201572,2024-10-04,Better Opportunity,Yes
700245,201578,2022-01-22,Better Opportunity,Yes
700246,201581,2023-09-02,Better Opportunity,Yes
700247,201587,2026-04-20,Career Growth,Yes
700248,201592,2025-08-16,Performance Issues,No
700249,201593,2024-06-28,Personal Reasons,Yes
700250,201601,2024-03-17,Better Opportunity,Yes
700251,201605,2025-10-08,Better Opportunity,Yes
700252,201616,2021-04-14,Career Growth,Yes
700253,201625,2022-06-01,Personal Reasons,Yes
700254,201627,2025-05-04,Career Growth,Yes
700255,201640,2024-02-19,Personal Reasons,Yes
700256,201641,2024-04-27,Better Opportunity,Yes
700257,201642,2025-12-03,Personal Reasons,Yes
700258,201650,2025-09-17,Better Opportunity,Yes
700259,201657,2022-04-19,Better Opportunity,Yes
700260,201660,2025-09-22,Better Opportunity,Yes
700261,201667,2025-06-09,Better Opportunity,Yes
700262,201683,2026-02-14,Compensation,Yes
700263,201690,2024-09-11,Better Opportunity,Yes
700264,201696,2022-07-16,Better Opportunity,Yes
700265,201697,2024-11-15,Better Opportunity,Yes
700266,201699,2025-02-07,Better Opportunity,Yes
700267,201706,2026-06-09,Personal Reasons,Yes
700268,201721,2025-12-25,Better Opportunity,Yes
700269,201723,2019-10-02,Compensation,Yes
700270,201726,2026-05-10,Better Opportunity,Yes
700271,201739,2024-03-15,Better Opportunity,Yes
700272,201740,2024-03-27,Higher Education,Yes
700273,201747,2019-09-19,Better Opportunity,Yes
700274,201748,2021-09-21,Career Growth,Yes
700275,201755,2026-01-11,Personal Reasons,Yes
700276,201757,2022-10-06,Better Opportunity,Yes
700277,201759,2020-05-21,Better Opportunity,Yes
700278,201763,2025-05-30,Compensation,Yes
700279,201764,2022-10-11,Better Opportunity,Yes
700280,201768,2025-11-08,Performance Issues,No
700281,201772,2025-06-05,Career Growth,Yes
700282,201775,2024-09-15,Career Growth,Yes
700283,201777,2025-06-14,Better Opportunity,Yes
700284,201779,2026-02-19,Better Opportunity,Yes
700285,201783,2022-02-22,Performance Issues,No
700286,201787,2019-10-08,Compensation,Yes
700287,201789,2025-04-01,Performance Issues,No
700288,201804,2022-02-12,Better Opportunity,Yes
700289,201809,2022-07-31,Better Opportunity,Yes
700290,201817,2026-06-27,Career Growth,Yes
700291,201833,2025-09-05,Better Opportunity,Yes
700292,201841,2026-02-01,Relocation,Yes
700293,201842,2023-10-30,Better Opportunity,Yes
700294,201848,2020-04-19,Compensation,Yes
700295,201855,2026-06-15,Personal Reasons,Yes
700296,201860,2022-02-12,Personal Reasons,Yes
700297,201861,2022-02-23,Personal Reasons,Yes
700298,201881,2024-10-16,Better Opportunity,Yes
700299,201883,2025-10-11,Compensation,Yes
700300,201889,2026-01-08,Personal Reasons,Yes
700301,201892,2024-11-28,Career Growth,Yes
700302,201898,2020-06-03,Compensation,Yes
700303,201901,2024-11-20,Personal Reasons,Yes
700304,201903,2026-06-20,Relocation,Yes
700305,201920,2023-08-02,Career Growth,Yes
700306,201922,2023-03-25,Career Growth,Yes
700307,201943,2024-04-10,Higher Education,Yes
700308,201946,2022-03-11,Better Opportunity,Yes
700309,201952,2023-01-09,Career Growth,Yes
700310,201953,2025-03-01,Better Opportunity,Yes
700311,201963,2026-03-21,Better Opportunity,Yes
700312,201968,2024-12-22,Better Opportunity,Yes
700313,201982,2024-06-17,Better Opportunity,Yes
700314,201985,2024-09-13,Better Opportunity,Yes
700315,201999,2026-02-12,Personal Reasons,Yes
700316,202010,2026-03-15,Compensation,Yes
700317,202020,2024-07-02,Compensation,Yes
700318,202021,2022-10-22,Personal Reasons,Yes
700319,202033,2026-06-05,Career Growth,Yes
700320,202034,2026-01-19,Performance Issues,No
700321,202041,2025-09-24,Performance Issues,No
700322,202042,2022-12-14,Better Opportunity,Yes
700323,202051,2024-02-14,Better Opportunity,Yes
700324,202059,2025-08-09,Career Growth,Yes
700325,202060,2024-05-25,Better Opportunity,Yes
700326,202070,2026-02-24,Better Opportunity,Yes
700327,202073,2025-09-24,Career Growth,Yes
700328,202074,2026-04-01,Career Growth,Yes
700329,202076,2026-05-08,Career Growth,Yes
700330,202077,2025-09-28,Better Opportunity,Yes
700331,202080,2026-06-19,Better Opportunity,Yes
700332,202083,2026-02-17,Career Growth,Yes
700333,202091,2023-07-23,Better Opportunity,Yes
700334,202092,2022-05-26,Compensation,Yes
700335,202093,2025-07-06,Personal Reasons,Yes
700336,202100,2020-10-22,Better Opportunity,Yes
700337,202104,2025-10-10,Better Opportunity,Yes
700338,202112,2026-02-20,Personal Reasons,Yes
700339,202113,2025-06-13,Personal Reasons,Yes
700340,202123,2023-12-22,Better Opportunity,Yes
700341,202140,2026-03-16,Better Opportunity,Yes
700342,202145,2025-07-27,Relocation,Yes
700343,202146,2025-11-04,Compensation,Yes
700344,202151,2023-12-30,Personal Reasons,Yes
700345,202157,2021-07-13,Career Growth,Yes
700346,202167,2026-05-10,Better Opportunity,Yes
700347,202187,2020-10-27,Compensation,Yes
700348,202196,2026-03-02,Performance Issues,No
700349,202201,2020-06-27,Compensation,Yes
700350,202202,2023-08-22,Career Growth,Yes
700351,202208,2024-01-04,Personal Reasons,Yes
700352,202213,2026-05-24,Better Opportunity,Yes
700353,202214,2026-04-17,Better Opportunity,Yes
700354,202217,2026-03-14,Personal Reasons,Yes
700355,202222,2022-09-22,Career Growth,Yes
700356,202235,2023-01-19,Better Opportunity,Yes
700357,202242,2021-10-21,Career Growth,Yes
700358,202249,2025-07-11,Better Opportunity,Yes
700359,202256,2024-03-26,Better Opportunity,Yes
700360,202259,2019-07-26,Personal Reasons,Yes
700361,202267,2026-03-01,Personal Reasons,Yes
700362,202281,2023-09-02,Performance Issues,No
700363,202288,2024-03-25,Better Opportunity,Yes
700364,202309,2026-04-11,Personal Reasons,Yes
700365,202321,2023-03-17,Better Opportunity,Yes
700366,202327,2021-06-14,Personal Reasons,Yes
700367,202334,2025-07-12,Career Growth,Yes
700368,202338,2026-05-13,Career Growth,Yes
700369,202353,2023-08-09,Personal Reasons,Yes
700370,202362,2026-06-07,Relocation,Yes
700371,202364,2026-03-16,Personal Reasons,Yes
700372,202372,2025-07-13,Career Growth,Yes
700373,202377,2024-12-16,Better Opportunity,Yes
700374,202379,2025-05-08,Better Opportunity,Yes
700375,202382,2024-04-24,Better Opportunity,Yes
700376,202389,2024-07-27,Personal Reasons,Yes
700377,202392,2019-10-09,Better Opportunity,Yes
700378,202397,2023-11-25,Better Opportunity,Yes
700379,202400,2026-04-23,Personal Reasons,Yes
700380,202401,2021-12-03,Performance Issues,No
700381,202405,2023-01-30,Better Opportunity,Yes
700382,202409,2026-01-26,Career Growth,Yes
700383,202416,2026-04-24,Better Opportunity,Yes
700384,202424,2023-09-14,Compensation,Yes
700385,202427,2023-08-25,Better Opportunity,Yes
700386,202432,2021-07-03,Higher Education,Yes
700387,202439,2026-01-07,Personal Reasons,Yes
700388,202441,2022-09-27,Career Growth,Yes
700389,202445,2024-02-13,Career Growth,Yes
700390,202448,2025-04-17,Compensation,Yes
700391,202453,2025-06-17,Performance Issues,No
700392,202454,2025-12-12,Better Opportunity,Yes
700393,202456,2023-12-24,Personal Reasons,Yes
700394,202458,2025-07-24,Compensation,Yes
700395,202460,2025-08-06,Compensation,Yes
700396,202465,2022-01-17,Personal Reasons,Yes
700397,202471,2022-07-23,Personal Reasons,Yes
700398,202474,2025-03-11,Career Growth,Yes
700399,202475,2025-01-11,Better Opportunity,Yes
700400,202491,2026-04-23,Better Opportunity,Yes
700401,202492,2026-03-14,Career Growth,Yes
700402,202506,2026-01-29,Better Opportunity,Yes
700403,202508,2024-03-05,Better Opportunity,Yes
700404,202511,2026-04-03,Better Opportunity,Yes
700405,202521,2025-02-14,Better Opportunity,Yes
700406,202526,2024-08-23,Compensation,Yes
700407,202527,2026-03-16,Personal Reasons,Yes
700408,202538,2026-05-20,Relocation,Yes
700409,202550,2025-12-08,Better Opportunity,Yes
700410,202551,2026-04-19,Higher Education,Yes
700411,202553,2025-10-02,Career Growth,Yes
700412,202554,2024-01-12,Better Opportunity,Yes
700413,202566,2025-05-22,Performance Issues,No
700414,202568,2019-12-26,Personal Reasons,Yes
700415,202570,2025-07-18,Personal Reasons,Yes
700416,202572,2022-12-22,Performance Issues,No
700417,202584,2025-08-11,Career Growth,Yes
700418,202588,2024-02-01,Compensation,Yes
700419,202590,2019-12-07,Career Growth,Yes
700420,202592,2023-03-24,Better Opportunity,Yes
700421,202593,2022-01-06,Relocation,Yes
700422,202605,2021-03-15,Compensation,Yes
700423,202613,2023-07-19,Career Growth,Yes
700424,202615,2026-05-04,Personal Reasons,Yes
700425,202623,2020-06-22,Better Opportunity,Yes
700426,202624,2025-12-15,Compensation,Yes
700427,202637,2025-08-30,Personal Reasons,Yes
700428,202639,2024-11-24,Career Growth,Yes
700429,202649,2021-02-20,Better Opportunity,Yes
700430,202685,2025-06-19,Better Opportunity,Yes
700431,202687,2025-02-21,Compensation,Yes
700432,202689,2023-02-08,Compensation,Yes
700433,202692,2026-01-27,Performance Issues,No
700434,202699,2022-12-29,Personal Reasons,Yes
700435,202700,2026-04-20,Better Opportunity,Yes
700436,202701,2026-06-04,Compensation,Yes
700437,202709,2026-02-05,Compensation,Yes
700438,202728,2025-10-28,Career Growth,Yes
700439,202740,2025-08-28,Personal Reasons,Yes
700440,202742,2025-11-21,Personal Reasons,Yes
700441,202747,2025-09-17,Relocation,Yes
700442,202754,2020-07-31,Better Opportunity,Yes
700443,202757,2025-04-06,Better Opportunity,Yes
700444,202761,2025-12-18,Better Opportunity,Yes
700445,202763,2026-07-03,Personal Reasons,Yes
700446,202773,2025-06-24,Performance Issues,No
700447,202776,2026-01-10,Personal Reasons,Yes
700448,202778,2025-09-03,Compensation,Yes
700449,202783,2026-03-15,Better Opportunity,Yes
700450,202785,2025-11-21,Performance Issues,No
700451,202789,2026-06-05,Career Growth,Yes
700452,202790,2024-01-19,Better Opportunity,Yes
700453,202809,2022-07-26,Better Opportunity,Yes
700454,202810,2018-12-17,Better Opportunity,Yes
700455,202814,2022-10-23,Better Opportunity,Yes
700456,202826,2025-02-04,Better Opportunity,Yes
700457,202831,2019-02-15,Personal Reasons,Yes
700458,202835,2025-06-12,Better Opportunity,Yes
700459,202841,2023-05-03,Career Growth,Yes
700460,202842,2023-01-05,Personal Reasons,Yes
700461,202846,2025-05-03,Performance Issues,No
700462,202848,2020-12-01,Better Opportunity,Yes
700463,202851,2026-05-24,Career Growth,Yes
700464,202852,2022-02-05,Personal Reasons,Yes
700465,202854,2020-07-26,Better Opportunity,Yes
700466,202861,2024-10-15,Performance Issues,No
700467,202864,2023-11-11,Better Opportunity,Yes
700468,202868,2025-09-30,Better Opportunity,Yes
700469,202871,2024-06-01,Career Growth,Yes
700470,202872,2025-11-01,Compensation,Yes
700471,202875,2025-08-11,Better Opportunity,Yes
700472,202885,2020-04-03,Better Opportunity,Yes
700473,202889,2025-07-11,Career Growth,Yes
700474,202890,2024-02-04,Better Opportunity,Yes
700475,202900,2026-01-11,Better Opportunity,Yes
700476,202906,2026-04-03,Better Opportunity,Yes
700477,202908,2020-02-10,Performance Issues,No
700478,202909,2020-06-29,Relocation,Yes
700479,202917,2026-05-31,Compensation,Yes
700480,202926,2020-07-03,Career Growth,Yes
700481,202927,2021-07-04,Better Opportunity,Yes
700482,202928,2026-06-27,Career Growth,Yes
700483,202935,2026-06-20,Better Opportunity,Yes
700484,202937,2025-07-20,Career Growth,Yes
700485,202952,2022-04-06,Career Growth,Yes
700486,202955,2025-04-08,Better Opportunity,Yes
700487,202958,2026-04-30,Personal Reasons,Yes
700488,202962,2023-07-04,Better Opportunity,Yes
700489,202963,2022-11-01,Career Growth,Yes
700490,202966,2020-12-26,Relocation,Yes
700491,202968,2023-01-13,Higher Education,Yes
700492,202969,2023-05-02,Compensation,Yes
700493,202970,2025-03-18,Career Growth,Yes
700494,202972,2025-06-01,Relocation,Yes
700495,202977,2024-10-03,Personal Reasons,Yes
700496,202979,2025-07-18,Career Growth,Yes
700497,202980,2023-05-30,Career Growth,Yes
700498,202983,2020-01-02,Better Opportunity,Yes
700499,202985,2025-11-11,Career Growth,Yes
700500,202987,2023-12-09,Performance Issues,No
700501,202989,2019-06-10,Better Opportunity,Yes
700502,202997,2026-05-02,Better Opportunity,Yes
700503,202999,2026-01-03,Better Opportunity,Yes
700504,203004,2026-05-08,Career Growth,Yes
700505,203013,2024-08-29,Career Growth,Yes
700506,203014,2021-01-24,Better Opportunity,Yes
700507,203015,2022-08-15,Career Growth,Yes
700508,203029,2023-12-15,Career Growth,Yes
700509,203046,2022-08-14,Career Growth,Yes
700510,203048,2026-06-05,Personal Reasons,Yes
700511,203049,2023-09-16,Compensation,Yes
700512,203050,2026-02-28,Compensation,Yes
700513,203051,2026-03-04,Career Growth,Yes
700514,203052,2021-06-15,Better Opportunity,Yes
700515,203053,2025-05-12,Better Opportunity,Yes
700516,203054,2026-06-02,Personal Reasons,Yes
700517,203059,2023-12-02,Better Opportunity,Yes
700518,203073,2025-11-23,Better Opportunity,Yes
700519,203088,2024-11-01,Career Growth,Yes
700520,203104,2025-11-01,Career Growth,Yes
700521,203113,2026-04-25,Career Growth,Yes
700522,203119,2025-11-25,Career Growth,Yes
700523,203121,2025-12-01,Career Growth,Yes
700524,203130,2025-10-05,Career Growth,Yes
700525,203132,2025-11-30,Personal Reasons,Yes
700526,203133,2025-02-24,Career Growth,Yes
700527,203143,2025-03-20,Better Opportunity,Yes
700528,203145,2022-08-18,Better Opportunity,Yes
700529,203156,2024-01-25,Personal Reasons,Yes
700530,203169,2024-02-14,Career Growth,Yes
700531,203179,2026-04-08,Career Growth,Yes
700532,203180,2021-04-05,Career Growth,Yes
700533,203189,2024-01-17,Better Opportunity,Yes
700534,203191,2024-06-15,Better Opportunity,Yes
700535,203193,2022-03-20,Career Growth,Yes
700536,203199,2026-06-12,Personal Reasons,Yes
700537,203202,2024-07-08,Compensation,Yes
700538,203215,2026-07-04,Better Opportunity,Yes
700539,203218,2020-04-23,Better Opportunity,Yes
700540,203219,2025-03-29,Relocation,Yes
700541,203232,2022-04-22,Better Opportunity,Yes
700542,203244,2023-06-19,Better Opportunity,Yes
700543,203262,2025-06-18,Personal Reasons,Yes
700544,203263,2023-11-21,Performance Issues,No
700545,203271,2021-05-07,Compensation,Yes
700546,203273,2023-12-24,Compensation,Yes
700547,203279,2020-04-23,Better Opportunity,Yes
700548,203282,2025-12-19,Relocation,Yes
700549,203284,2025-03-28,Compensation,Yes
700550,203286,2026-03-02,Better Opportunity,Yes
700551,203287,2024-09-05,Career Growth,Yes
700552,203292,2026-04-04,Better Opportunity,Yes
700553,203293,2026-02-21,Personal Reasons,Yes
700554,203296,2025-08-03,Personal Reasons,Yes
700555,203302,2026-01-07,Personal Reasons,Yes
700556,203309,2024-04-09,Better Opportunity,Yes
700557,203310,2024-08-11,Better Opportunity,Yes
700558,203311,2026-04-29,Compensation,Yes
700559,203313,2021-01-18,Personal Reasons,Yes
700560,203315,2021-04-20,Better Opportunity,Yes
700561,203316,2025-08-18,Personal Reasons,Yes
700562,203317,2024-04-30,Personal Reasons,Yes
700563,203319,2021-07-19,Personal Reasons,Yes
700564,203320,2025-05-07,Career Growth,Yes
700565,203324,2023-07-13,Better Opportunity,Yes
700566,203327,2024-09-11,Better Opportunity,Yes
700567,203330,2026-06-29,Personal Reasons,Yes
700568,203335,2025-10-22,Compensation,Yes
700569,203340,2023-04-12,Compensation,Yes
700570,203350,2025-10-06,Performance Issues,No
700571,203353,2021-08-22,Better Opportunity,Yes
700572,203356,2025-09-24,Career Growth,Yes
700573,203357,2024-06-14,Career Growth,Yes
700574,203359,2024-12-08,Better Opportunity,Yes
700575,203364,2026-06-07,Better Opportunity,Yes
700576,203366,2025-07-03,Personal Reasons,Yes
700577,203368,2023-07-21,Personal Reasons,Yes
700578,203372,2024-04-30,Career Growth,Yes
700579,203376,2026-05-20,Compensation,Yes
700580,203378,2026-03-04,Better Opportunity,Yes
700581,203382,2025-09-18,Career Growth,Yes
700582,203383,2026-01-03,Compensation,Yes
700583,203385,2026-05-11,Better Opportunity,Yes
700584,203394,2023-07-25,Career Growth,Yes
700585,203399,2025-01-17,Better Opportunity,Yes
