employee_id,project_id,project_name,project_type,client_industry,start_date,end_date,role_in_project
EMP_00013,PRJ_0040,Project_0040,Product Development,Government,2020-07-30,2021-10-05,Consultant
EMP_00013,PRJ_0186,Project_0186,Managed Services,Retail & E-Commerce,2020-07-30,2021-05-21,DevOps
EMP_00013,PRJ_0183,Project_0183,Consulting,Retail & E-Commerce,2022-01-29,2022-12-25,Architect
EMP_00013,PRJ_0114,Project_0114,Managed Services,Retail & E-Commerce,2020-07-30,2020-09-16,QA Engineer
EMP_00014,PRJ_0163,Project_0163,Digital Transformation,Logistics,2019-10-03,2021-10-21,Architect
EMP_00014,PRJ_0117,Project_0117,Product Development,Energy,2019-10-03,2021-12-02,Senior Developer
EMP_00015,PRJ_0166,Project_0166,Internal,BFSI,2022-06-12,2023-09-26,QA Engineer
EMP_00015,PRJ_0018,Project_0018,Managed Services,Logistics,2022-06-12,2022-12-26,Consultant
EMP_00015,PRJ_0138,Project_0138,R&D,Telecom,2022-10-31,2024-04-23,Analyst
EMP_00016,PRJ_0189,Project_0189,Internal,BFSI,2022-06-27,2023-03-29,Architect
EMP_00016,PRJ_0143,Project_0143,Digital Transformation,Telecom,2022-06-27,2023-06-10,Senior Developer
EMP_00017,PRJ_0124,Project_0124,Managed Services,BFSI,2020-07-16,2021-08-10,DevOps
EMP_00017,PRJ_0046,Project_0046,R&D,BFSI,2019-10-23,2022-04-10,Senior Developer
EMP_00017,PRJ_0090,Project_0090,Internal,BFSI,2020-12-14,2022-03-09,Architect
EMP_00017,PRJ_0052,Project_0052,Product Development,Retail & E-Commerce,2020-04-26,2022-06-15,Senior Developer
EMP_00018,PRJ_0166,Project_0166,Internal,BFSI,2023-08-29,2023-09-26,Consultant
EMP_00018,PRJ_0154,Project_0154,Consulting,Healthcare,2023-08-29,2024-09-17,Consultant
EMP_00019,PRJ_0132,Project_0132,R&D,BFSI,2023-06-17,2024-07-07,Senior Developer
EMP_00019,PRJ_0036,Project_0036,Product Development,Retail & E-Commerce,2023-06-17,2024-02-08,Manager
EMP_00019,PRJ_0138,Project_0138,R&D,Telecom,2023-06-17,2024-04-23,Manager
EMP_00019,PRJ_0074,Project_0074,Managed Services,Telecom,2023-06-17,2024-03-19,Consultant
EMP_00020,PRJ_0061,Project_0061,Product Development,BFSI,2020-06-14,2022-12-01,DevOps
EMP_00020,PRJ_0131,Project_0131,Managed Services,Retail & E-Commerce,2020-12-15,2023-01-04,DevOps
EMP_00020,PRJ_0160,Project_0160,Consulting,Healthcare,2022-04-20,2024-09-30,Manager
EMP_00021,PRJ_0127,Project_0127,Consulting,Manufacturing,2022-10-09,2023-03-06,Developer
EMP_00021,PRJ_0050,Project_0050,Consulting,BFSI,2022-10-09,2023-11-24,Manager
EMP_00022,PRJ_0068,Project_0068,Managed Services,Energy,2023-11-21,2024-12-31,QA Engineer
EMP_00022,PRJ_0074,Project_0074,Managed Services,Telecom,2023-11-21,2024-03-19,DevOps
EMP_00022,PRJ_0119,Project_0119,Managed Services,Telecom,2023-11-21,2024-11-29,DevOps
EMP_00022,PRJ_0006,Project_0006,Digital Transformation,Healthcare,2023-11-21,2024-03-08,Consultant
EMP_00023,PRJ_0086,Project_0086,Digital Transformation,Manufacturing,2022-12-20,2023-11-14,Senior Developer
EMP_00024,PRJ_0168,Project_0168,Managed Services,Energy,2020-07-31,2022-01-13,Consultant
EMP_00025,PRJ_0008,Project_0008,Digital Transformation,Manufacturing,2021-03-20,2023-10-06,Tech Lead
EMP_00026,PRJ_0111,Project_0111,Digital Transformation,Retail & E-Commerce,2022-03-18,2023-08-10,Senior Developer
EMP_00027,PRJ_0085,Project_0085,Digital Transformation,BFSI,2022-09-16,2024-11-04,Analyst
EMP_00027,PRJ_0118,Project_0118,Product Development,Logistics,2020-01-07,2021-05-05,Architect
EMP_00028,PRJ_0060,Project_0060,Consulting,BFSI,2021-02-13,2022-09-11,Developer
EMP_00028,PRJ_0148,Project_0148,Consulting,Logistics,2022-02-04,2022-09-11,Tech Lead
EMP_00029,PRJ_0197,Project_0197,R&D,Manufacturing,2021-05-10,2021-05-18,Manager
EMP_00030,PRJ_0072,Project_0072,Internal,Telecom,2020-09-27,2021-03-09,Analyst
EMP_00030,PRJ_0131,Project_0131,Managed Services,Retail & E-Commerce,2020-12-15,2021-03-09,Analyst
EMP_00030,PRJ_0124,Project_0124,Managed Services,BFSI,2020-07-16,2021-03-09,QA Engineer
EMP_00030,PRJ_0044,Project_0044,Product Development,Energy,2020-10-18,2021-03-09,Architect
EMP_00031,PRJ_0050,Project_0050,Consulting,BFSI,2022-09-25,2023-11-24,Analyst
EMP_00031,PRJ_0033,Project_0033,Consulting,Telecom,2022-12-25,2024-12-31,Developer
EMP_00031,PRJ_0123,Project_0123,Digital Transformation,Manufacturing,2022-09-25,2023-11-23,Architect
EMP_00031,PRJ_0189,Project_0189,Internal,BFSI,2022-09-25,2023-03-29,QA Engineer
EMP_00032,PRJ_0150,Project_0150,Managed Services,BFSI,2020-01-30,2021-10-21,Manager
EMP_00032,PRJ_0096,Project_0096,Product Development,BFSI,2020-11-13,2023-06-01,QA Engineer
EMP_00032,PRJ_0177,Project_0177,Consulting,Telecom,2019-06-01,2021-11-21,Consultant
EMP_00033,PRJ_0082,Project_0082,Product Development,BFSI,2023-11-25,2024-06-11,DevOps
EMP_00033,PRJ_0171,Project_0171,Internal,Logistics,2023-11-25,2024-12-31,DevOps
EMP_00033,PRJ_0104,Project_0104,Product Development,Retail & E-Commerce,2023-11-25,2024-11-22,Architect
EMP_00033,PRJ_0006,Project_0006,Digital Transformation,Healthcare,2023-11-25,2024-03-08,Architect
EMP_00034,PRJ_0120,Project_0120,Digital Transformation,Manufacturing,2023-10-31,2024-10-21,DevOps
EMP_00034,PRJ_0148,Project_0148,Consulting,Logistics,2023-10-31,2024-04-24,QA Engineer
EMP_00034,PRJ_0074,Project_0074,Managed Services,Telecom,2023-10-31,2024-03-19,Consultant
EMP_00034,PRJ_0184,Project_0184,Digital Transformation,Manufacturing,2023-10-31,2024-09-21,Tech Lead
EMP_00035,PRJ_0152,Project_0152,Consulting,Telecom,2022-09-28,2024-01-05,Manager
EMP_00035,PRJ_0058,Project_0058,R&D,Retail & E-Commerce,2021-03-26,2021-10-13,QA Engineer
EMP_00035,PRJ_0019,Project_0019,Internal,BFSI,2021-03-26,2023-03-16,QA Engineer
EMP_00036,PRJ_0003,Project_0003,Digital Transformation,Telecom,2022-04-30,2023-12-24,Manager
EMP_00036,PRJ_0183,Project_0183,Consulting,Retail & E-Commerce,2022-04-30,2022-12-25,DevOps
EMP_00036,PRJ_0017,Project_0017,Product Development,Manufacturing,2022-10-04,2024-04-26,DevOps
EMP_00037,PRJ_0118,Project_0118,Product Development,Logistics,2020-08-06,2021-05-05,QA Engineer
EMP_00038,PRJ_0152,Project_0152,Consulting,Telecom,2022-09-28,2024-12-31,Analyst
EMP_00038,PRJ_0143,Project_0143,Digital Transformation,Telecom,2021-09-18,2023-06-10,Analyst
EMP_00038,PRJ_0021,Project_0021,Digital Transformation,Telecom,2022-04-30,2023-03-26,QA Engineer
EMP_00038,PRJ_0146,Project_0146,Product Development,Manufacturing,2020-12-07,2021-09-11,Senior Developer
EMP_00039,PRJ_0082,Project_0082,Product Development,BFSI,2022-11-19,2024-06-11,Tech Lead
EMP_00040,PRJ_0048,Project_0048,Consulting,Manufacturing,2023-10-06,2024-02-01,Developer
EMP_00041,PRJ_0111,Project_0111,Digital Transformation,Retail & E-Commerce,2022-03-18,2023-08-10,Architect
EMP_00041,PRJ_0037,Project_0037,Consulting,Healthcare,2022-10-01,2023-07-28,DevOps
EMP_00041,PRJ_0162,Project_0162,Product Development,Government,2022-09-02,2024-06-23,QA Engineer
EMP_00042,PRJ_0176,Project_0176,Digital Transformation,Manufacturing,2020-04-24,2020-12-07,Analyst
EMP_00042,PRJ_0016,Project_0016,Managed Services,Manufacturing,2020-04-24,2020-10-01,Analyst
EMP_00043,PRJ_0047,Project_0047,Product Development,Manufacturing,2021-06-24,2023-05-26,Tech Lead
EMP_00044,PRJ_0061,Project_0061,Product Development,BFSI,2022-01-12,2022-12-01,DevOps
EMP_00045,PRJ_0152,Project_0152,Consulting,Telecom,2023-07-18,2024-12-31,Consultant
EMP_00045,PRJ_0102,Project_0102,Managed Services,BFSI,2023-07-18,2024-03-11,Manager
EMP_00045,PRJ_0138,Project_0138,R&D,Telecom,2023-07-18,2024-04-23,Analyst
EMP_00046,PRJ_0056,Project_0056,Digital Transformation,BFSI,2022-10-31,2024-04-10,Consultant
EMP_00046,PRJ_0140,Project_0140,R&D,BFSI,2022-10-13,2024-04-10,Architect
EMP_00046,PRJ_0027,Project_0027,Product Development,Healthcare,2022-08-31,2023-01-25,Analyst
EMP_00046,PRJ_0079,Project_0079,Consulting,Logistics,2022-08-31,2022-11-21,Consultant
EMP_00047,PRJ_0193,Project_0193,Internal,Retail & E-Commerce,2019-08-27,2020-09-06,Tech Lead
EMP_00047,PRJ_0023,Project_0023,R&D,Retail & E-Commerce,2020-02-09,2020-09-06,Consultant
EMP_00047,PRJ_0159,Project_0159,Digital Transformation,BFSI,2019-08-27,2020-09-06,Analyst
EMP_00048,PRJ_0073,Project_0073,Managed Services,Retail & E-Commerce,2023-12-04,2024-12-31,Manager
EMP_00048,PRJ_0003,Project_0003,Digital Transformation,Telecom,2023-12-04,2023-12-24,Developer
EMP_00048,PRJ_0099,Project_0099,Digital Transformation,Healthcare,2023-12-04,2024-12-31,Senior Developer
EMP_00048,PRJ_0138,Project_0138,R&D,Telecom,2023-12-04,2024-04-23,DevOps
EMP_00049,PRJ_0023,Project_0023,R&D,Retail & E-Commerce,2022-02-01,2022-06-28,QA Engineer
EMP_00049,PRJ_0027,Project_0027,Product Development,Healthcare,2022-02-01,2023-01-25,Analyst
EMP_00049,PRJ_0115,Project_0115,Managed Services,Healthcare,2022-10-17,2024-04-09,DevOps
EMP_00050,PRJ_0189,Project_0189,Internal,BFSI,2022-01-02,2023-03-29,QA Engineer
EMP_00050,PRJ_0023,Project_0023,R&D,Retail & E-Commerce,2022-01-02,2022-06-28,Consultant
EMP_00050,PRJ_0123,Project_0123,Digital Transformation,Manufacturing,2022-05-02,2023-11-23,Developer
EMP_00050,PRJ_0054,Project_0054,Consulting,Retail & E-Commerce,2022-09-12,2024-04-04,Consultant
EMP_00051,PRJ_0086,Project_0086,Digital Transformation,Manufacturing,2023-06-16,2023-11-14,Manager
EMP_00052,PRJ_0082,Project_0082,Product Development,BFSI,2022-11-19,2024-06-11,Architect
EMP_00052,PRJ_0140,Project_0140,R&D,BFSI,2022-10-13,2024-10-13,Analyst
EMP_00052,PRJ_0028,Project_0028,Product Development,Healthcare,2022-06-11,2023-03-17,QA Engineer
EMP_00053,PRJ_0018,Project_0018,Managed Services,Logistics,2022-04-30,2022-12-26,Tech Lead
EMP_00054,PRJ_0192,Project_0192,R&D,Healthcare,2021-01-14,2021-10-27,Architect
EMP_00055,PRJ_0156,Project_0156,Product Development,Logistics,2022-10-14,2023-05-07,Manager
EMP_00055,PRJ_0042,Project_0042,Internal,Telecom,2022-10-14,2024-02-05,Consultant
EMP_00055,PRJ_0180,Project_0180,Product Development,Manufacturing,2022-12-02,2024-08-23,Manager
EMP_00055,PRJ_0095,Project_0095,Consulting,Telecom,2022-10-14,2024-05-31,DevOps
EMP_00056,PRJ_0131,Project_0131,Managed Services,Retail & E-Commerce,2022-09-24,2023-01-04,Tech Lead
EMP_00056,PRJ_0173,Project_0173,Product Development,Manufacturing,2022-11-14,2024-12-31,QA Engineer
EMP_00057,PRJ_0010,Project_0010,Internal,Telecom,2020-06-01,2021-12-23,Analyst
EMP_00058,PRJ_0047,Project_0047,Product Development,Manufacturing,2020-11-07,2023-05-26,DevOps
EMP_00059,PRJ_0062,Project_0062,R&D,BFSI,2022-08-01,2023-10-25,Tech Lead
EMP_00059,PRJ_0014,Project_0014,Consulting,Retail & E-Commerce,2022-11-13,2024-12-31,Consultant
EMP_00059,PRJ_0003,Project_0003,Digital Transformation,Telecom,2021-09-14,2023-12-24,DevOps
EMP_00060,PRJ_0155,Project_0155,Product Development,Energy,2023-12-15,2024-06-24,Developer
EMP_00060,PRJ_0104,Project_0104,Product Development,Retail & E-Commerce,2023-12-15,2024-11-22,Developer
EMP_00060,PRJ_0157,Project_0157,Product Development,Retail & E-Commerce,2023-12-15,2024-07-24,QA Engineer
EMP_00060,PRJ_0154,Project_0154,Consulting,Healthcare,2023-12-15,2024-09-17,Consultant
EMP_00061,PRJ_0198,Project_0198,Managed Services,Telecom,2022-10-02,2023-07-25,Developer
EMP_00062,PRJ_0197,Project_0197,R&D,Manufacturing,2022-12-29,2023-07-29,Architect
EMP_00062,PRJ_0140,Project_0140,R&D,BFSI,2022-12-29,2024-12-31,Architect
EMP_00062,PRJ_0036,Project_0036,Product Development,Retail & E-Commerce,2022-12-29,2024-02-08,Analyst
EMP_00062,PRJ_0073,Project_0073,Managed Services,Retail & E-Commerce,2022-12-29,2024-12-31,Architect
EMP_00063,PRJ_0120,Project_0120,Digital Transformation,Manufacturing,2023-09-01,2024-08-22,Architect
EMP_00064,PRJ_0106,Project_0106,Product Development,Energy,2023-07-03,2024-12-31,Manager
EMP_00064,PRJ_0062,Project_0062,R&D,BFSI,2023-07-03,2023-10-25,QA Engineer
EMP_00064,PRJ_0066,Project_0066,Product Development,Retail & E-Commerce,2023-07-03,2023-09-24,Developer
EMP_00065,PRJ_0042,Project_0042,Internal,Telecom,2023-08-17,2024-02-05,Developer
EMP_00065,PRJ_0013,Project_0013,Consulting,Healthcare,2023-08-17,2024-07-12,Analyst
EMP_00065,PRJ_0004,Project_0004,Product Development,Retail & E-Commerce,2023-08-17,2023-10-08,Tech Lead
EMP_00065,PRJ_0121,Project_0121,Digital Transformation,Retail & E-Commerce,2023-08-17,2023-11-05,Manager
EMP_00066,PRJ_0090,Project_0090,Internal,BFSI,2020-12-14,2021-02-13,Consultant
EMP_00066,PRJ_0105,Project_0105,Managed Services,Healthcare,2020-06-06,2021-02-13,DevOps
EMP_00067,PRJ_0123,Project_0123,Digital Transformation,Manufacturing,2023-08-15,2023-11-23,DevOps
EMP_00067,PRJ_0085,Project_0085,Digital Transformation,BFSI,2023-08-15,2024-11-04,Developer
EMP_00068,PRJ_0068,Project_0068,Managed Services,Energy,2023-12-20,2024-12-31,Architect
EMP_00068,PRJ_0182,Project_0182,Managed Services,BFSI,2023-12-20,2024-01-05,Consultant
EMP_00068,PRJ_0104,Project_0104,Product Development,Retail & E-Commerce,2023-12-20,2024-11-22,Analyst
EMP_00068,PRJ_0054,Project_0054,Consulting,Retail & E-Commerce,2023-12-20,2024-04-04,Architect
EMP_00069,PRJ_0004,Project_0004,Product Development,Retail & E-Commerce,2022-11-15,2023-10-08,QA Engineer
EMP_00069,PRJ_0190,Project_0190,Product Development,BFSI,2022-11-15,2023-10-09,Manager
EMP_00070,PRJ_0120,Project_0120,Digital Transformation,Manufacturing,2023-10-19,2024-10-21,Manager
EMP_00070,PRJ_0138,Project_0138,R&D,Telecom,2023-10-19,2024-04-23,Manager
EMP_00070,PRJ_0102,Project_0102,Managed Services,BFSI,2023-10-19,2024-03-11,Consultant
EMP_00071,PRJ_0048,Project_0048,Consulting,Manufacturing,2023-01-03,2024-02-01,Analyst
EMP_00071,PRJ_0037,Project_0037,Consulting,Healthcare,2023-01-03,2023-07-28,DevOps
EMP_00072,PRJ_0102,Project_0102,Managed Services,BFSI,2022-06-20,2023-08-31,Tech Lead
EMP_00072,PRJ_0119,Project_0119,Managed Services,Telecom,2022-03-15,2023-08-31,DevOps
EMP_00073,PRJ_0177,Project_0177,Consulting,Telecom,2021-11-07,2021-11-21,Senior Developer
EMP_00073,PRJ_0046,Project_0046,R&D,BFSI,2021-11-07,2022-04-10,Architect
EMP_00073,PRJ_0141,Project_0141,Managed Services,Retail & E-Commerce,2021-11-07,2023-01-19,Developer
EMP_00073,PRJ_0033,Project_0033,Consulting,Telecom,2022-12-25,2024-12-31,Architect
EMP_00074,PRJ_0174,Project_0174,Internal,BFSI,2023-06-04,2024-07-20,Architect
EMP_00074,PRJ_0017,Project_0017,Product Development,Manufacturing,2023-06-04,2024-04-26,QA Engineer
EMP_00075,PRJ_0147,Project_0147,Internal,Manufacturing,2022-09-13,2023-05-24,Consultant
EMP_00075,PRJ_0070,Project_0070,Internal,BFSI,2022-09-13,2023-12-03,Analyst
EMP_00075,PRJ_0073,Project_0073,Managed Services,Retail & E-Commerce,2022-09-13,2023-12-03,Tech Lead
EMP_00075,PRJ_0054,Project_0054,Consulting,Retail & E-Commerce,2022-09-13,2023-12-03,Architect
EMP_00076,PRJ_0041,Project_0041,Consulting,BFSI,2022-06-14,2023-03-05,Senior Developer
EMP_00076,PRJ_0121,Project_0121,Digital Transformation,Retail & E-Commerce,2022-06-14,2023-09-11,Senior Developer
EMP_00077,PRJ_0029,Project_0029,Managed Services,Logistics,2023-04-29,2023-11-30,Consultant
EMP_00077,PRJ_0013,Project_0013,Consulting,Healthcare,2023-04-29,2024-12-26,Manager
EMP_00077,PRJ_0091,Project_0091,Consulting,Retail & E-Commerce,2023-04-29,2024-12-31,Architect
EMP_00078,PRJ_0030,Project_0030,Managed Services,BFSI,2020-08-19,2021-03-17,Developer
EMP_00078,PRJ_0121,Project_0121,Digital Transformation,Retail & E-Commerce,2021-06-18,2023-11-05,QA Engineer
EMP_00078,PRJ_0086,Project_0086,Digital Transformation,Manufacturing,2021-04-28,2023-11-14,DevOps
EMP_00079,PRJ_0171,Project_0171,Internal,Logistics,2023-09-02,2024-12-31,DevOps
EMP_00079,PRJ_0095,Project_0095,Consulting,Telecom,2023-09-02,2024-05-31,QA Engineer
EMP_00079,PRJ_0008,Project_0008,Digital Transformation,Manufacturing,2023-09-02,2023-10-06,Senior Developer
EMP_00079,PRJ_0106,Project_0106,Product Development,Energy,2023-09-02,2024-12-31,Developer
EMP_00080,PRJ_0012,Project_0012,Product Development,Manufacturing,2022-07-06,2022-09-03,Developer
EMP_00080,PRJ_0053,Project_0053,Managed Services,Retail & E-Commerce,2022-07-06,2023-01-28,QA Engineer
EMP_00081,PRJ_0104,Project_0104,Product Development,Retail & E-Commerce,2022-04-07,2022-12-18,Developer
EMP_00082,PRJ_0008,Project_0008,Digital Transformation,Manufacturing,2021-03-20,2023-10-06,Consultant
EMP_00082,PRJ_0049,Project_0049,Product Development,BFSI,2020-01-01,2021-06-13,Analyst
EMP_00083,PRJ_0160,Project_0160,Consulting,Healthcare,2023-07-12,2024-01-26,DevOps
EMP_00083,PRJ_0063,Project_0063,Product Development,Manufacturing,2023-07-12,2023-10-19,QA Engineer
EMP_00083,PRJ_0102,Project_0102,Managed Services,BFSI,2023-07-12,2024-01-26,Manager
EMP_00083,PRJ_0062,Project_0062,R&D,BFSI,2023-07-12,2023-10-25,Consultant
EMP_00084,PRJ_0148,Project_0148,Consulting,Logistics,2022-11-11,2024-04-24,DevOps
EMP_00084,PRJ_0073,Project_0073,Managed Services,Retail & E-Commerce,2022-11-11,2024-05-24,DevOps
EMP_00084,PRJ_0095,Project_0095,Consulting,Telecom,2022-11-11,2024-05-24,Consultant
EMP_00084,PRJ_0106,Project_0106,Product Development,Energy,2022-11-11,2024-05-24,Tech Lead
EMP_00085,PRJ_0098,Project_0098,R&D,Manufacturing,2022-06-23,2023-07-02,QA Engineer
EMP_00085,PRJ_0120,Project_0120,Digital Transformation,Manufacturing,2022-12-01,2024-10-21,Tech Lead
EMP_00086,PRJ_0036,Project_0036,Product Development,Retail & E-Commerce,2023-03-01,2024-02-08,Consultant
EMP_00086,PRJ_0143,Project_0143,Digital Transformation,Telecom,2023-03-01,2023-06-10,Consultant
EMP_00086,PRJ_0066,Project_0066,Product Development,Retail & E-Commerce,2023-03-01,2023-09-24,Tech Lead
EMP_00087,PRJ_0006,Project_0006,Digital Transformation,Healthcare,2023-02-24,2024-03-08,Architect
EMP_00087,PRJ_0123,Project_0123,Digital Transformation,Manufacturing,2023-02-24,2023-11-23,Senior Developer
EMP_00087,PRJ_0115,Project_0115,Managed Services,Healthcare,2023-02-24,2024-04-09,Analyst
EMP_00088,PRJ_0162,Project_0162,Product Development,Government,2022-09-02,2023-10-31,Developer
EMP_00088,PRJ_0026,Project_0026,Digital Transformation,Manufacturing,2021-01-11,2021-07-16,Tech Lead
EMP_00088,PRJ_0126,Project_0126,Consulting,Healthcare,2021-01-11,2021-12-24,Manager
EMP_00089,PRJ_0047,Project_0047,Product Development,Manufacturing,2020-11-07,2023-05-26,Tech Lead
EMP_00090,PRJ_0056,Project_0056,Digital Transformation,BFSI,2022-10-31,2024-06-22,QA Engineer
EMP_00091,PRJ_0113,Project_0113,Consulting,BFSI,2021-08-05,2021-09-20,Tech Lead
EMP_00091,PRJ_0090,Project_0090,Internal,BFSI,2021-08-05,2022-03-09,Developer
EMP_00091,PRJ_0003,Project_0003,Digital Transformation,Telecom,2021-08-05,2023-12-24,Analyst
EMP_00091,PRJ_0099,Project_0099,Digital Transformation,Healthcare,2022-09-24,2024-12-31,Tech Lead
EMP_00092,PRJ_0091,Project_0091,Consulting,Retail & E-Commerce,2022-11-03,2023-10-22,Manager
EMP_00092,PRJ_0192,Project_0192,R&D,Healthcare,2022-03-09,2022-03-10,Analyst
EMP_00092,PRJ_0162,Project_0162,Product Development,Government,2022-09-02,2023-10-22,QA Engineer
EMP_00092,PRJ_0023,Project_0023,R&D,Retail & E-Commerce,2022-03-09,2022-06-28,Manager
EMP_00093,PRJ_0081,Project_0081,Managed Services,Retail & E-Commerce,2022-12-28,2023-10-08,Consultant
EMP_00093,PRJ_0020,Project_0020,Digital Transformation,BFSI,2020-07-19,2021-08-13,Analyst
EMP_00094,PRJ_0057,Project_0057,Digital Transformation,Energy,2020-09-05,2021-09-29,Manager
EMP_00094,PRJ_0054,Project_0054,Consulting,Retail & E-Commerce,2022-09-12,2024-04-04,Architect
EMP_00094,PRJ_0118,Project_0118,Product Development,Logistics,2020-09-05,2021-05-05,Consultant
EMP_00095,PRJ_0160,Project_0160,Consulting,Healthcare,2022-05-18,2024-12-31,DevOps
EMP_00095,PRJ_0013,Project_0013,Consulting,Healthcare,2022-09-08,2024-12-26,Senior Developer
EMP_00096,PRJ_0004,Project_0004,Product Development,Retail & E-Commerce,2023-07-03,2023-10-08,Tech Lead
EMP_00097,PRJ_0174,Project_0174,Internal,BFSI,2022-02-01,2024-07-20,Analyst
EMP_00098,PRJ_0196,Project_0196,R&D,Retail & E-Commerce,2021-05-18,2021-07-21,Manager
EMP_00098,PRJ_0187,Project_0187,Managed Services,Energy,2021-05-18,2022-09-19,DevOps
EMP_00099,PRJ_0047,Project_0047,Product Development,Manufacturing,2021-11-17,2023-05-26,Senior Developer
EMP_00099,PRJ_0084,Project_0084,Product Development,Retail & E-Commerce,2021-11-17,2022-05-27,Developer
EMP_00099,PRJ_0116,Project_0116,R&D,BFSI,2021-11-17,2021-11-27,Consultant
EMP_00099,PRJ_0126,Project_0126,Consulting,Healthcare,2021-11-17,2021-12-24,Consultant
EMP_00100,PRJ_0015,Project_0015,Consulting,Retail & E-Commerce,2022-08-26,2023-01-31,Tech Lead
EMP_00100,PRJ_0068,Project_0068,Managed Services,Energy,2022-08-26,2023-05-15,Developer
EMP_00100,PRJ_0073,Project_0073,Managed Services,Retail & E-Commerce,2022-08-26,2023-05-15,Developer
EMP_00101,PRJ_0050,Project_0050,Consulting,BFSI,2021-08-06,2023-11-24,Developer
EMP_00102,PRJ_0064,Project_0064,Digital Transformation,Telecom,2020-04-02,2022-05-05,Tech Lead
EMP_00102,PRJ_0055,Project_0055,Product Development,Retail & E-Commerce,2020-04-02,2020-09-02,DevOps
EMP_00102,PRJ_0052,Project_0052,Product Development,Retail & E-Commerce,2020-04-26,2022-06-15,Manager
EMP_00102,PRJ_0085,Project_0085,Digital Transformation,BFSI,2022-09-16,2024-11-04,Tech Lead
EMP_00103,PRJ_0096,Project_0096,Product Development,BFSI,2023-01-16,2023-06-01,Manager
EMP_00104,PRJ_0166,Project_0166,Internal,BFSI,2021-08-07,2022-01-27,QA Engineer
EMP_00105,PRJ_0089,Project_0089,Product Development,Manufacturing,2022-11-21,2024-02-14,Consultant
EMP_00105,PRJ_0098,Project_0098,R&D,Manufacturing,2022-03-09,2023-07-02,Architect
EMP_00105,PRJ_0162,Project_0162,Product Development,Government,2022-09-02,2024-06-23,DevOps
EMP_00105,PRJ_0130,Project_0130,R&D,Logistics,2020-12-03,2022-06-26,Senior Developer
EMP_00106,PRJ_0054,Project_0054,Consulting,Retail & E-Commerce,2022-09-12,2022-11-29,DevOps
