manager_id,employee_id,department,location,team_size,targeted_team_size,experience_years
MGR0166,220601,Marketing,Hyderabad,0,13,15
MGR0167,234123,Support,Hyderabad,0,9,22
MGR0168,214110,Engineering,Pune,0,15,8
MGR0169,203521,Cloud,Mumbai,0,9,17
MGR0170,210340,Finance,Pune,0,11,9
MGR0171,212861,Marketing,Mumbai,0,12,16
MGR0172,229570,Cloud,Mumbai,0,13,10
MGR0173,202281,Cyber Security,Noida,0,9,22
MGR0174,226746,Support,Pune,0,11,22
MGR0175,221526,Engineering,Pune,0,12,13
MGR0176,219759,Marketing,Hyderabad,0,15,10
MGR0177,218219,Finance,Hyderabad,0,12,21
MGR0178,214944,Sales,Noida,0,8,17
MGR0179,223826,Engineering,Bengaluru,0,12,18
MGR0180,203675,Finance,Hyderabad,0,9,22
MGR0181,228561,Data Science,Noida,0,10,22
MGR0182,215240,Finance,Pune,0,9,12
MGR0183,228716,Finance,Noida,0,9,22
MGR0184,229167,Marketing,Pune,0,10,19
MGR0185,214608,Engineering,Hyderabad,0,12,12
MGR0186,211946,Data Science,Hyderabad,0,11,17
MGR0187,209019,Data Science,Hyderabad,0,13,19
MGR0188,207357,Support,Chennai,0,12,11
MGR0189,205251,Cloud,Chennai,0,15,16
MGR0190,214859,Sales,Pune,0,8,12
MGR0191,211790,Finance,Mumbai,0,14,9
MGR0192,223832,Data Science,Pune,0,12,21
MGR0193,218173,Marketing,Noida,0,8,8
MGR0194,214124,Finance,Noida,0,10,13
MGR0195,231494,Support,Bengaluru,0,12,18
MGR0196,206531,Data Science,Chennai,0,15,10
MGR0197,222265,Cyber Security,Pune,0,14,16
MGR0198,227923,Finance,Pune,0,8,16
MGR0199,214815,Sales,Chennai,0,9,9
MGR0200,234627,Marketing,Chennai,0,10,22
MGR0201,207763,Sales,Bengaluru,0,8,16
MGR0202,202782,Support,Pune,0,13,21
MGR0203,221333,HR,Noida,0,10,17
MGR0204,219665,Engineering,Pune,0,10,14
MGR0205,203844,Data Science,Chennai,0,12,8
MGR0206,201883,Cyber Security,Pune,0,8,13
MGR0207,209538,HR,Hyderabad,0,13,22
MGR0208,226083,Engineering,Hyderabad,0,11,11
MGR0209,211140,Cyber Security,Mumbai,0,9,18
MGR0210,200348,Data Science,Pune,0,14,13
MGR0211,233579,Cyber Security,Pune,0,10,17
MGR0212,226718,Engineering,Mumbai,0,11,22
MGR0213,209398,Cyber Security,Bengaluru,0,10,21
MGR0214,215485,HR,Hyderabad,0,10,20
MGR0215,203821,Sales,Hyderabad,0,14,22
MGR0216,215221,Support,Bengaluru,0,10,8
MGR0217,229249,Support,Chennai,0,13,19
MGR0218,215746,Data Science,Bengaluru,0,14,20
MGR0219,229829,Cyber Security,Bengaluru,0,11,20
MGR0220,228892,Sales,Hyderabad,0,10,12
MGR0221,234561,Cloud,Hyderabad,0,9,20
MGR0222,203999,Support,Pune,0,8,14
MGR0223,221727,Data Science,Mumbai,0,15,21
MGR0224,222498,HR,Chennai,0,11,11
MGR0225,234176,Engineering,Noida,0,15,21
MGR0226,231285,Support,Pune,0,12,13
MGR0227,219081,Support,Noida,0,11,21
MGR0228,230436,Cloud,Noida,0,8,11
MGR0229,231952,HR,Noida,0,11,18
MGR0230,217114,Marketing,Chennai,0,13,14
MGR0231,202407,Cloud,Chennai,0,9,12
MGR0232,209089,HR,Pune,0,12,20
MGR0233,201266,Sales,Noida,0,14,13
MGR0234,208231,Data Science,Pune,0,13,18
MGR0235,228260,Cloud,Hyderabad,0,9,8
MGR0236,209780,Cyber Security,Noida,0,12,22
MGR0237,230832,Finance,Pune,0,12,10
MGR0238,201853,Sales,Hyderabad,0,9,8
MGR0239,223710,Support,Bengaluru,0,14,17
MGR0240,219724,Engineering,Mumbai,0,13,13
MGR0241,214227,Sales,Mumbai,0,9,14
MGR0242,222079,Support,Bengaluru,0,11,14
MGR0243,232001,Support,Pune,0,8,12
MGR0244,226049,Sales,Chennai,0,14,19
MGR0245,205350,Engineering,Chennai,0,11,8
MGR0246,227007,Finance,Pune,0,14,13
MGR0247,208030,Finance,Chennai,0,13,9
MGR0248,217777,Finance,Mumbai,0,13,17
MGR0249,228323,Sales,Noida,0,9,18
MGR0250,228248,HR,Bengaluru,0,12,19
MGR0251,213129,Cloud,Bengaluru,0,12,16
MGR0252,210169,Cyber Security,Noida,0,14,18
MGR0253,208367,Sales,Hyderabad,0,14,13
MGR0254,225472,HR,Chennai,0,12,19
MGR0255,207103,Sales,Chennai,0,10,16
MGR0256,224218,Finance,Pune,0,14,11
MGR0257,206288,Engineering,Hyderabad,0,14,18
MGR0258,204303,Marketing,Mumbai,0,10,18
MGR0259,204217,Data Science,Chennai,0,12,17
MGR0260,223007,Engineering,Bengaluru,0,8,14
MGR0261,203478,Sales,Hyderabad,0,12,12
MGR0262,203980,Engineering,Chennai,0,14,11
MGR0263,200724,Sales,Bengaluru,0,13,20
MGR0264,234297,Data Science,Chennai,0,15,15
MGR0265,232512,HR,Bengaluru,0,11,15
MGR0266,232439,Cloud,Noida,0,15,16
MGR0267,200589,Support,Bengaluru,0,10,20
MGR0268,218819,Sales,Pune,0,9,18
MGR0269,217679,Cloud,Bengaluru,0,13,12
MGR0270,225389,Engineering,Noida,0,11,9
MGR0271,226087,Sales,Hyderabad,0,12,18
MGR0272,220124,Finance,Chennai,0,11,11
MGR0273,204874,Cloud,Chennai,0,8,10
MGR0274,228484,Marketing,Hyderabad,0,11,8
MGR0275,233519,Cloud,Chennai,0,9,15
MGR0276,219207,HR,Chennai,0,14,15
MGR0277,205715,Engineering,Hyderabad,0,11,22
MGR0278,223681,Data Science,Pune,0,14,19
MGR0279,208649,Cyber Security,Chennai,0,14,15
MGR0280,213901,Finance,Chennai,0,10,11
MGR0281,228806,Support,Mumbai,0,8,18
MGR0282,203872,Data Science,Mumbai,0,9,22
MGR0283,231438,Data Science,Noida,0,14,20
MGR0284,228798,Data Science,Hyderabad,0,10,11
MGR0285,212693,Engineering,Pune,0,15,20
MGR0286,226056,Finance,Mumbai,0,11,8
MGR0287,212647,Data Science,Chennai,0,9,22
MGR0288,226404,Cloud,Pune,0,10,15
MGR0289,232175,Cloud,Mumbai,0,15,20
MGR0290,210939,Engineering,Pune,0,13,18
MGR0291,207988,HR,Noida,0,15,20
MGR0292,217404,Sales,Noida,0,14,17
MGR0293,205630,Finance,Noida,0,15,21
MGR0294,234048,Support,Noida,0,10,22
MGR0295,201582,HR,Pune,0,15,19
MGR0296,210210,Sales,Chennai,0,12,15
MGR0297,205175,Marketing,Noida,0,11,20
MGR0298,206468,Finance,Mumbai,0,12,21
MGR0299,207663,Cyber Security,Chennai,0,15,20
MGR0300,211121,Engineering,Mumbai,0,11,18
MGR0301,220266,Support,Chennai,0,15,12
MGR0302,232178,Data Science,Mumbai,0,12,9
MGR0303,232901,Engineering,Bengaluru,0,12,11
MGR0304,234399,Data Science,Hyderabad,0,13,13
MGR0305,204453,Support,Chennai,0,9,22
MGR0306,229725,Finance,Mumbai,0,10,10
MGR0307,229575,Data Science,Chennai,0,14,11
MGR0308,231698,Data Science,Pune,0,10,19
MGR0309,221621,Cyber Security,Pune,0,11,19
MGR0310,220189,Cloud,Bengaluru,0,14,9
MGR0311,212306,Support,Pune,0,13,14
MGR0312,200899,Sales,Noida,0,15,16
MGR0313,213190,Data Science,Noida,0,8,14
MGR0314,229353,Cloud,Pune,0,14,11
MGR0315,228481,Data Science,Chennai,0,8,14
MGR0316,216837,Cyber Security,Pune,0,14,21
MGR0317,223987,Support,Hyderabad,0,8,15
MGR0318,205698,Sales,Noida,0,12,13
MGR0319,216173,Engineering,Mumbai,0,14,20
MGR0320,215346,Sales,Bengaluru,0,14,21
MGR0321,211104,Sales,Noida,0,11,16
MGR0322,224289,HR,Bengaluru,0,11,15
MGR0323,204744,Cyber Security,Chennai,0,14,12
MGR0324,204743,Sales,Chennai,0,8,15
MGR0325,234940,Cyber Security,Pune,0,13,14
MGR0326,220944,HR,Bengaluru,0,14,18
MGR0327,227697,Engineering,Chennai,0,10,19
MGR0328,232758,Marketing,Mumbai,0,15,21
MGR0329,219974,Data Science,Bengaluru,0,10,22
MGR0330,232170,Data Science,Pune,0,8,17
MGR0331,223226,Cyber Security,Bengaluru,0,14,22
MGR0332,224841,Sales,Bengaluru,0,8,17
MGR0333,218236,Sales,Hyderabad,0,14,9
MGR0334,221422,Sales,Chennai,0,15,10
MGR0335,215173,Cyber Security,Hyderabad,0,8,10
MGR0336,201287,Data Science,Pune,0,14,12
MGR0337,221759,Marketing,Pune,0,11,13
MGR0338,229073,Marketing,Chennai,0,13,15
MGR0339,224891,Cyber Security,Chennai,0,14,13
MGR0340,210055,Data Science,Noida,0,14,12
MGR0341,224387,Data Science,Hyderabad,0,9,12
MGR0342,225152,Sales,Chennai,0,8,15
MGR0343,215076,HR,Mumbai,0,8,19
MGR0344,228528,Sales,Chennai,0,11,13
MGR0345,228983,Finance,Pune,0,9,18
MGR0346,230349,HR,Chennai,0,8,20
MGR0347,224434,Finance,Mumbai,0,8,20
MGR0348,218614,Marketing,Chennai,0,11,11
MGR0349,214111,Sales,Bengaluru,0,8,21
MGR0350,207760,Engineering,Noida,0,10,17
MGR0351,212658,Finance,Pune,0,10,11
MGR0352,220119,Support,Bengaluru,0,9,15
MGR0353,202257,HR,Pune,0,11,17
MGR0354,226392,Cyber Security,Noida,0,12,15
MGR0355,218840,Sales,Noida,0,13,20
MGR0356,225604,Data Science,Mumbai,0,9,10
MGR0357,203994,Sales,Bengaluru,0,10,20
MGR0358,204837,Finance,Chennai,0,9,12
MGR0359,205967,Sales,Pune,0,8,17
MGR0360,210311,Cloud,Mumbai,0,12,22
MGR0361,205275,Finance,Mumbai,0,14,17
MGR0362,231090,Support,Chennai,0,11,14
MGR0363,203075,Finance,Mumbai,0,11,9
MGR0364,207658,Finance,Hyderabad,0,12,9
MGR0365,214073,Cloud,Bengaluru,0,9,21
MGR0366,224633,Engineering,Bengaluru,0,8,20
MGR0367,221996,Cyber Security,Mumbai,0,14,13
MGR0368,219915,Cloud,Pune,0,13,18
MGR0369,208593,HR,Noida,0,13,9
MGR0370,208505,HR,Noida,0,14,8
MGR0371,221851,Cloud,Noida,0,15,21
MGR0372,233361,Data Science,Pune,0,14,9
MGR0373,211673,Cyber Security,Noida,0,15,13
MGR0374,230538,Marketing,Mumbai,0,10,19
MGR0375,221085,Support,Noida,0,10,14
MGR0376,218895,Data Science,Mumbai,0,12,19
MGR0377,219857,HR,Mumbai,0,15,17
MGR0378,224790,Cyber Security,Pune,0,14,15
MGR0379,230852,Cyber Security,Noida,0,12,21
MGR0380,223483,Cyber Security,Pune,0,11,13
MGR0381,200197,Marketing,Hyderabad,0,9,21
MGR0382,228096,Engineering,Bengaluru,0,15,12
MGR0383,206327,Finance,Noida,0,15,11
MGR0384,207281,Engineering,Hyderabad,0,14,17
MGR0385,217925,Engineering,Hyderabad,0,8,13
MGR0386,234963,HR,Pune,0,13,15
MGR0387,214742,Data Science,Noida,0,15,10
MGR0388,206195,Sales,Bengaluru,0,13,11
MGR0389,204590,Cyber Security,Mumbai,0,12,20
MGR0390,231323,Finance,Hyderabad,0,12,13
MGR0391,200449,Engineering,Pune,0,12,22
MGR0392,200560,HR,Chennai,0,8,16
MGR0393,223316,Support,Chennai,0,11,16
MGR0394,218620,Support,Chennai,0,11,9
MGR0395,222800,Cloud,Chennai,0,14,19
MGR0396,225009,Data Science,Noida,0,11,15
MGR0397,205742,Data Science,Mumbai,0,15,19
MGR0398,229124,Support,Mumbai,0,15,18
MGR0399,205624,HR,Pune,0,8,15
MGR0400,234896,HR,Chennai,0,12,9
MGR0401,229846,Engineering,Chennai,0,14,11
MGR0402,210272,Marketing,Bengaluru,0,11,19
MGR0403,201669,Finance,Noida,0,13,12
MGR0404,230106,Marketing,Hyderabad,0,13,15
MGR0405,206158,Finance,Pune,0,13,14
MGR0406,214268,HR,Hyderabad,0,15,13
MGR0407,219753,Engineering,Noida,0,12,12
MGR0408,216845,Cloud,Mumbai,0,11,12
MGR0409,212524,Engineering,Noida,0,11,9
MGR0410,234623,Support,Chennai,0,9,13
MGR0411,229973,HR,Chennai,0,10,19
MGR0412,200598,HR,Mumbai,0,11,11
MGR0413,216057,Engineering,Mumbai,0,15,19
MGR0414,224211,Engineering,Mumbai,0,12,12
MGR0415,220136,Finance,Hyderabad,0,11,9
MGR0416,214605,Support,Bengaluru,0,11,12
MGR0417,206225,Data Science,Mumbai,0,10,13
MGR0418,202690,Engineering,Mumbai,0,8,12
MGR0419,205660,Cyber Security,Chennai,0,10,19
MGR0420,202727,Marketing,Pune,0,8,12
MGR0421,206209,Sales,Bengaluru,0,12,8
MGR0422,230402,HR,Bengaluru,0,10,19
MGR0423,202741,Support,Mumbai,0,15,18
MGR0424,231961,Cyber Security,Noida,0,8,9
MGR0425,227662,HR,Noida,0,12,17
MGR0426,223600,HR,Bengaluru,0,15,15
MGR0427,201934,Engineering,Noida,0,13,15
MGR0428,201494,Engineering,Bengaluru,0,8,10
MGR0429,234189,Sales,Noida,0,15,12
MGR0430,215849,Sales,Mumbai,0,9,9
MGR0431,228775,Cyber Security,Hyderabad,0,15,14
MGR0432,203928,Support,Pune,0,8,9
MGR0433,233107,Cloud,Hyderabad,0,10,10
MGR0434,215270,Cyber Security,Hyderabad,0,12,20
MGR0435,200541,Marketing,Chennai,0,11,9
MGR0436,217513,Marketing,Hyderabad,0,14,9
MGR0437,216321,Cyber Security,Hyderabad,0,11,17
MGR0438,225157,Cloud,Noida,0,14,20
MGR0439,210628,Finance,Bengaluru,0,15,15
MGR0440,225340,Engineering,Noida,0,14,12
MGR0441,208358,HR,Hyderabad,0,8,12
MGR0442,227344,Marketing,Pune,0,9,17
MGR0443,204273,HR,Pune,0,11,20
MGR0444,224956,Marketing,Hyderabad,0,11,18
MGR0445,202533,Sales,Pune,0,9,12
MGR0446,209529,HR,Mumbai,0,11,10
MGR0447,200180,Cloud,Mumbai,0,9,10
MGR0448,214891,Cloud,Mumbai,0,8,10
MGR0449,203061,Data Science,Chennai,0,15,14
MGR0450,204022,Sales,Pune,0,15,19
MGR0451,214771,Cloud,Bengaluru,0,8,12
MGR0452,215362,Sales,Mumbai,0,12,11
MGR0453,220044,HR,Pune,0,12,19
MGR0454,223294,Engineering,Pune,0,15,19
MGR0455,211906,Support,Mumbai,0,11,9
MGR0456,208479,Engineering,Hyderabad,0,12,22
MGR0457,205409,Data Science,Mumbai,0,11,20
MGR0458,226053,Engineering,Mumbai,0,9,14
MGR0459,207510,Finance,Chennai,0,11,16
MGR0460,231665,Support,Bengaluru,0,10,18
MGR0461,207870,Support,Pune,0,12,22
MGR0462,216747,Data Science,Chennai,0,10,21
MGR0463,234959,Marketing,Mumbai,0,8,9
MGR0464,204662,Sales,Hyderabad,0,12,10
MGR0465,216172,Engineering,Bengaluru,0,12,17
MGR0466,231724,Marketing,Hyderabad,0,9,15
MGR0467,226789,HR,Mumbai,0,12,15
MGR0468,216852,Support,Chennai,0,14,19
MGR0469,220348,Cloud,Noida,0,15,12
MGR0470,201435,Sales,Noida,0,9,15
MGR0471,206505,Cloud,Bengaluru,0,8,17
MGR0472,207231,Support,Hyderabad,0,14,22
MGR0473,207338,Support,Chennai,0,13,19
MGR0474,217010,Cloud,Noida,0,12,17
MGR0475,230845,Sales,Hyderabad,0,9,8
MGR0476,206297,Cloud,Noida,0,8,11
MGR0477,214984,Sales,Bengaluru,0,12,20
MGR0478,226220,Engineering,Pune,0,8,17
MGR0479,232706,Support,Bengaluru,0,10,20
MGR0480,210688,Cyber Security,Pune,0,15,15
MGR0481,200567,Cyber Security,Mumbai,0,12,22
MGR0482,232306,Engineering,Chennai,0,14,10
MGR0483,209559,Data Science,Noida,0,15,18
MGR0484,222373,Marketing,Hyderabad,0,15,9
MGR0485,234293,Cyber Security,Hyderabad,0,14,13
MGR0486,228370,Finance,Hyderabad,0,13,13
MGR0487,218843,Finance,Bengaluru,0,9,18
MGR0488,208154,Data Science,Mumbai,0,10,21
MGR0489,200092,Cloud,Mumbai,0,14,13
MGR0490,209135,Support,Chennai,0,15,19
MGR0491,204127,Marketing,Mumbai,0,14,12
MGR0492,205902,HR,Noida,0,8,21
MGR0493,200375,Finance,Chennai,0,9,15
MGR0494,216847,Marketing,Chennai,0,12,13
MGR0495,218145,Data Science,Pune,0,9,13
MGR0496,210018,Finance,Noida,0,14,20
MGR0497,220676,Cloud,Pune,0,8,21
MGR0498,233171,Cyber Security,Chennai,0,15,18
MGR0499,206984,Marketing,Pune,0,8,14
MGR0500,223905,Data Science,Hyderabad,0,13,11
MGR0501,218014,Marketing,Hyderabad,0,15,17
MGR0502,230818,Engineering,Chennai,0,15,18
MGR0503,224146,Finance,Mumbai,0,8,20
MGR0504,217505,Data Science,Bengaluru,0,12,11
MGR0505,200831,Cloud,Bengaluru,0,10,16
MGR0506,211033,Support,Bengaluru,0,12,22
MGR0507,220630,Sales,Bengaluru,0,15,15
MGR0508,206757,Finance,Bengaluru,0,8,9
MGR0509,219098,Support,Hyderabad,0,11,18
MGR0510,228320,Cloud,Bengaluru,0,10,19
MGR0511,225446,Marketing,Noida,0,8,12
MGR0512,230175,Support,Noida,0,14,16
MGR0513,222243,Cloud,Pune,0,11,9
MGR0514,233574,Data Science,Pune,0,9,21
MGR0515,210438,Marketing,Mumbai,0,9,15
MGR0516,201992,Support,Bengaluru,0,10,18
MGR0517,221661,Support,Bengaluru,0,12,15
MGR0518,232500,Engineering,Pune,0,12,16
MGR0519,207769,Finance,Hyderabad,0,15,14
MGR0520,203189,HR,Pune,0,11,15
MGR0521,234159,Support,Pune,0,10,15
MGR0522,215161,Data Science,Chennai,0,11,14
MGR0523,233819,HR,Pune,0,10,22
MGR0524,214558,Engineering,Chennai,0,9,21
MGR0525,233009,Finance,Noida,0,14,12
MGR0526,217630,Cloud,Mumbai,0,12,13
MGR0527,222067,Marketing,Chennai,0,8,21
MGR0528,208733,Engineering,Bengaluru,0,12,12
MGR0529,217187,Sales,Hyderabad,0,15,21
MGR0530,215973,Marketing,Chennai,0,10,21
MGR0531,212538,Cyber Security,Bengaluru,0,15,15
MGR0532,213817,Engineering,Hyderabad,0,13,13
MGR0533,223061,HR,Noida,0,14,16
MGR0534,233386,Marketing,Pune,0,13,15
MGR0535,211619,Engineering,Hyderabad,0,11,21
MGR0536,209741,Sales,Pune,0,11,19
MGR0537,204071,Marketing,Pune,0,14,17
MGR0538,226627,Marketing,Bengaluru,0,14,11
MGR0539,218409,Cloud,Mumbai,0,13,8
MGR0540,211624,Sales,Chennai,0,15,19
MGR0541,220649,Data Science,Bengaluru,0,14,19
MGR0542,218318,Data Science,Noida,0,10,14
MGR0543,231680,Engineering,Pune,0,8,15
MGR0544,215934,Sales,Noida,0,13,10
MGR0545,217884,Cyber Security,Pune,0,9,21
MGR0546,212587,HR,Chennai,0,15,21
MGR0547,229828,Sales,Mumbai,0,15,9
MGR0548,211490,Data Science,Pune,0,10,8
MGR0549,206386,Marketing,Hyderabad,0,10,14
MGR0550,214215,HR,Bengaluru,0,15,9
MGR0551,213688,Finance,Hyderabad,0,12,20
MGR0552,213728,Data Science,Bengaluru,0,14,13
MGR0553,216584,Engineering,Pune,0,9,18
MGR0554,220381,Data Science,Bengaluru,0,13,21
MGR0555,225184,Data Science,Mumbai,0,14,21
MGR0556,229863,Finance,Mumbai,0,15,13
MGR0557,225497,Cloud,Mumbai,0,8,21
