employee_id,gender,age,location,department,role,level,joining_date,college_tier,manager_id,status
200038,Male,34,Hyderabad,Engineering,Senior Software Engineer,L3,2024-04-20,Tier-3,MGR1312,Active
200039,Male,39,Bengaluru,Sales,Senior Account Executive,L3,2022-08-10,Tier-2,MGR0714,Active
200040,Female,37,Mumbai,Cyber Security,Security Engineer,L2,2019-09-20,Tier-3,MGR1131,Exited
200041,Female,30,Mumbai,Cyber Security,Security Engineer,L2,2018-09-11,Tier-3,MGR0010,Active
200042,Male,37,Pune,Support,Support Lead,L3,2023-04-04,Tier-3,MGR1101,Active
200043,Male,27,Pune,Finance,Finance Associate,L1,2022-09-01,Tier-3,MGR0170,Exited
200044,Female,32,Mumbai,Engineering,Software Engineer,L2,2022-03-08,Tier-2,MGR0691,Active
200045,Female,44,Bengaluru,Engineering,Lead Engineer,L4,2020-08-12,Tier-3,MGR0864,Active
200046,Female,35,Mumbai,Finance,Senior Finance Analyst,L3,2024-03-27,Tier-3,MGR0306,Active
200047,Male,27,Pune,Marketing,Marketing Associate,L1,2020-03-08,Tier-2,MGR0792,Active
200048,Male,45,Noida,Engineering,Lead Engineer,L4,2020-03-26,Tier-2,MGR0414,Active
200049,Male,36,Bengaluru,Engineering,Senior Software Engineer,L3,2024-01-15,Tier-3,MGR0846,Active
200050,Female,39,Chennai,Cloud,Cloud Lead,L4,2024-05-16,Tier-1,MGR0889,Active
200051,Male,49,Chennai,Cloud,Cloud Lead,L4,2018-07-10,Tier-3,MGR0018,Active
200052,Male,33,Pune,Engineering,Software Engineer,L2,2022-12-22,Tier-2,MGR1258,Active
200053,Female,43,Mumbai,Cloud,Cloud Architect,L5,2025-12-11,Tier-1,MGR0539,Active
200054,Male,43,Hyderabad,Data Science,Senior Data Scientist,L3,2018-09-03,Tier-3,MGR0012,Active
200055,Male,50,Hyderabad,Sales,VP Sales,L5,2020-07-09,Tier-3,MGR0342,Exited
200056,Female,29,Bengaluru,Sales,Sales Associate,L1,2018-01-20,Tier-3,MGR0008,Active
200057,Male,46,Chennai,Cloud,Cloud Architect,L5,2022-12-29,Tier-3,MGR0273,Active
200058,Female,47,Bengaluru,Cloud,Cloud Architect,L5,2021-02-22,Tier-2,MGR1273,Active
200059,Female,41,Bengaluru,Finance,Senior Finance Analyst,L3,2020-04-17,Tier-1,MGR0556,Active
200060,Male,36,Bengaluru,HR,Senior HR Specialist,L3,2022-05-15,Tier-3,MGR1255,Active
200061,Female,45,Chennai,Sales,Sales Director,L4,2020-09-18,Tier-3,MGR0342,Active
200062,Male,37,Chennai,Cloud,Cloud Engineer,L2,2019-01-05,Tier-1,MGR1473,Active
200063,Male,28,Pune,Engineering,Associate Software Engineer,L1,2023-05-29,Tier-2,MGR0122,Active
200064,Male,24,Bengaluru,Sales,Sales Associate,L1,2022-07-23,Tier-3,MGR0635,Exited
200065,Male,42,Bengaluru,Finance,Senior Finance Analyst,L3,2020-06-15,Tier-3,MGR0525,Active
200066,Male,44,Mumbai,HR,Senior HR Specialist,L3,2018-06-03,Tier-3,MGR0003,Active
200067,Male,30,Bengaluru,Finance,Finance Analyst,L2,2021-05-28,Tier-2,MGR1119,Active
200068,Male,38,Noida,Cyber Security,Senior Security Engineer,L3,2024-03-15,Tier-2,MGR0905,Exited
200069,Female,50,Bengaluru,Cyber Security,Security Manager,L5,2018-12-23,Tier-2,MGR0017,Active
200070,Male,39,Noida,Finance,Finance Lead,L4,2025-09-10,Tier-3,MGR0121,Exited
200071,Male,36,Noida,Engineering,Senior Software Engineer,L3,2025-10-10,Tier-3,MGR1169,Active
200072,Female,50,Chennai,Engineering,Engineering Manager,L5,2020-05-01,Tier-3,MGR0414,Active
200073,Female,44,Chennai,Cloud,Cloud Lead,L4,2020-08-14,Tier-1,MGR0139,Active
200074,Female,37,Bengaluru,Cloud,Senior Cloud Engineer,L3,2020-12-02,Tier-3,MGR0091,Active
200075,Male,45,Noida,Data Science,Data Science Manager,L5,2023-09-14,Tier-1,MGR0069,Active
200076,Male,26,Noida,Marketing,Marketing Associate,L1,2022-06-14,Tier-3,MGR0494,Active
200077,Male,37,Chennai,Sales,Senior Account Executive,L3,2022-07-08,Tier-3,MGR0988,Exited
200078,Female,24,Chennai,Marketing,Marketing Associate,L1,2025-09-09,Tier-2,MGR0718,Active
200079,Male,42,Pune,Support,Support Manager,L4,2022-04-21,Tier-3,MGR0951,Exited
200080,Male,47,Mumbai,Marketing,Marketing Director,L5,2022-03-29,Tier-3,MGR0494,Active
200081,Female,42,Mumbai,Support,Support Manager,L4,2023-10-11,Tier-3,MGR1240,Active
200082,Female,26,Noida,Finance,Finance Associate,L1,2024-02-03,Tier-3,MGR1384,Active
200083,Male,35,Pune,Support,Support Lead,L3,2024-11-07,Tier-1,MGR0242,Active
200084,Female,49,Pune,Cyber Security,Security Lead,L4,2018-05-24,Tier-2,MGR0019,Active
200085,Male,50,Chennai,Support,Support Director,L5,2021-03-13,Tier-3,MGR0775,Active
200086,Male,26,Hyderabad,HR,HR Associate,L1,2024-09-11,Tier-3,MGR1052,Active
200087,Female,37,Chennai,Data Science,Senior Data Scientist,L3,2020-08-11,Tier-3,MGR0488,Active
200088,Female,31,Mumbai,Finance,Finance Analyst,L2,2024-01-27,Tier-3,MGR1182,Active
200089,Female,43,Noida,Data Science,Lead Data Scientist,L4,2021-12-16,Tier-3,MGR0302,Active
200090,Female,34,Mumbai,Engineering,Software Engineer,L2,2019-05-26,Tier-3,MGR1038,Exited
200091,Female,35,Chennai,Cyber Security,Senior Security Engineer,L3,2022-12-16,Tier-2,MGR0943,Active
200092,Male,44,Mumbai,Cloud,Cloud Lead,L4,2019-10-15,Tier-2,MGR1483,Active
200093,Male,35,Chennai,Cyber Security,Security Engineer,L2,2020-06-13,Tier-3,MGR0354,Active
200094,Female,44,Noida,Cloud,Cloud Lead,L4,2019-05-20,Tier-2,MGR1495,Exited
200095,Male,34,Mumbai,Engineering,Senior Software Engineer,L3,2023-10-07,Tier-2,MGR1389,Active
200096,Female,25,Mumbai,HR,HR Associate,L1,2025-09-12,Tier-3,MGR0399,Active
200097,Male,31,Chennai,Cloud,Cloud Engineer,L2,2023-09-26,Tier-1,MGR1365,Exited
200098,Male,44,Noida,Engineering,Engineering Manager,L5,2025-05-27,Tier-3,MGR1296,Active
200099,Male,47,Mumbai,Marketing,Marketing Manager,L4,2019-10-30,Tier-2,MGR0992,Active
200100,Male,32,Hyderabad,Cyber Security,Security Analyst,L1,2019-06-24,Tier-2,MGR1131,Exited
200101,Female,42,Bengaluru,Finance,Finance Lead,L4,2023-07-30,Tier-2,MGR1411,Exited
200102,Female,32,Noida,Cloud,Cloud Associate,L1,2018-09-13,Tier-3,MGR0020,Active
200103,Female,31,Hyderabad,Data Science,Associate Data Scientist,L1,2020-05-26,Tier-3,MGR0488,Active
200104,Male,42,Mumbai,Engineering,Senior Software Engineer,L3,2018-08-12,Tier-3,MGR0013,Active
200105,Male,37,Hyderabad,HR,HR Manager,L4,2025-11-14,Tier-2,MGR1259,Active
200106,Female,48,Bengaluru,Data Science,Lead Data Scientist,L4,2019-01-20,Tier-2,MGR1000,Active
200107,Male,29,Chennai,Finance,Finance Analyst,L2,2022-07-27,Tier-3,MGR0170,Exited
200108,Female,36,Noida,Sales,Account Executive,L2,2019-12-15,Tier-3,MGR1375,Active
200109,Male,41,Mumbai,HR,HR Manager,L4,2023-08-11,Tier-2,MGR0326,Active
200110,Male,29,Mumbai,Cyber Security,Security Analyst,L1,2019-05-03,Tier-3,MGR1349,Active
200111,Male,49,Hyderabad,Marketing,Marketing Director,L5,2019-03-14,Tier-2,MGR0822,Active
200112,Female,32,Chennai,Data Science,Associate Data Scientist,L1,2018-08-24,Tier-3,MGR0021,Active
200113,Male,46,Bengaluru,Support,Support Manager,L4,2021-06-06,Tier-1,MGR0927,Active
200114,Female,26,Mumbai,Cloud,Cloud Engineer,L2,2025-08-17,Tier-3,MGR0451,Exited
200115,Female,23,Mumbai,Data Science,Associate Data Scientist,L1,2024-10-18,Tier-3,MGR1030,Active
200116,Male,48,Bengaluru,Finance,Finance Manager,L5,2020-10-16,Tier-3,MGR0487,Active
200117,Male,52,Noida,Engineering,Engineering Manager,L5,2018-05-18,Tier-3,MGR0035,Active
200118,Female,30,Chennai,Engineering,Associate Software Engineer,L1,2018-03-10,Tier-1,MGR0036,Active
200119,Female,44,Noida,Data Science,Senior Data Scientist,L3,2018-02-12,Tier-2,MGR0069,Active
200120,Male,34,Pune,Support,Senior Support Analyst,L2,2020-06-18,Tier-1,MGR0083,Active
200121,Female,44,Pune,Support,Support Manager,L4,2019-10-29,Tier-3,MGR0906,Exited
200122,Female,34,Pune,Cloud,Cloud Engineer,L2,2022-01-29,Tier-3,MGR0273,Active
200123,Male,34,Mumbai,HR,Senior HR Specialist,L3,2024-03-30,Tier-1,MGR1104,Active
200124,Male,32,Bengaluru,Data Science,Data Scientist,L2,2023-01-11,Tier-3,MGR1021,Active
200125,Male,32,Mumbai,Support,Senior Support Analyst,L2,2024-07-25,Tier-1,MGR0242,Active
200126,Female,39,Hyderabad,Engineering,Lead Engineer,L4,2023-08-18,Tier-3,MGR1389,Active
200127,Female,51,Mumbai,Cyber Security,Security Manager,L5,2018-01-28,Tier-2,MGR0032,Exited
200128,Male,45,Noida,Data Science,Data Science Manager,L5,2025-07-09,Tier-1,MGR0555,Exited
200129,Male,37,Mumbai,Cloud,Senior Cloud Engineer,L3,2022-03-12,Tier-3,MGR0513,Active
200130,Female,50,Pune,Finance,Finance Manager,L5,2021-04-30,Tier-2,MGR1119,Active
200131,Female,34,Bengaluru,Sales,Senior Account Executive,L3,2023-11-04,Tier-3,MGR0201,Active
200132,Male,37,Bengaluru,Cyber Security,Security Engineer,L2,2018-03-08,Tier-3,MGR0040,Exited
200133,Male,39,Mumbai,Cyber Security,Security Lead,L4,2025-08-27,Tier-3,MGR1319,Active
200134,Male,47,Mumbai,HR,HR Director,L5,2022-10-28,Tier-3,MGR1255,Active
200135,Male,46,Noida,Finance,Finance Manager,L5,2021-12-31,Tier-3,MGR1069,Active
200136,Male,45,Chennai,Finance,Finance Manager,L5,2024-07-25,Tier-3,MGR1227,Active
200137,Female,30,Pune,Sales,Sales Associate,L1,2020-11-29,Tier-3,MGR0332,Exited
200138,Female,32,Hyderabad,Finance,Finance Associate,L1,2018-03-16,Tier-3,MGR0037,Active
200139,Male,41,Bengaluru,Finance,Finance Lead,L4,2023-07-15,Tier-2,MGR1443,Active
200140,Female,37,Pune,Data Science,Senior Data Scientist,L3,2021-12-29,Tier-3,MGR0302,Exited
200141,Female,43,Hyderabad,Finance,Finance Lead,L4,2022-12-16,Tier-2,MGR1020,Exited
200142,Male,36,Chennai,Engineering,Senior Software Engineer,L3,2023-11-08,Tier-1,MGR0122,Active
200143,Male,31,Mumbai,HR,HR Specialist,L2,2025-12-02,Tier-2,MGR1088,Active
200144,Female,50,Hyderabad,Finance,Finance Manager,L5,2018-09-18,Tier-2,MGR0055,Active
200145,Male,25,Noida,Data Science,Associate Data Scientist,L1,2022-06-08,Tier-3,MGR0387,Active
200146,Male,29,Bengaluru,Support,Senior Support Analyst,L2,2023-04-28,Tier-1,MGR0733,Active
200147,Male,45,Noida,Engineering,Lead Engineer,L4,2018-08-24,Tier-3,MGR0038,Active
200148,Male,24,Pune,Marketing,Marketing Associate,L1,2025-03-20,Tier-3,MGR0718,Exited
200149,Male,32,Mumbai,Marketing,Marketing Specialist,L2,2021-10-04,Tier-1,MGR1112,Active
200150,Female,45,Mumbai,HR,HR Manager,L4,2021-08-07,Tier-3,MGR0739,Active
200151,Male,25,Pune,Cloud,Cloud Associate,L1,2025-03-06,Tier-3,MGR0077,Active
200152,Male,32,Hyderabad,Support,Senior Support Analyst,L2,2021-08-11,Tier-3,MGR0959,Exited
200153,Male,40,Noida,Cloud,Senior Cloud Engineer,L3,2020-11-12,Tier-2,MGR0371,Active
200154,Male,44,Bengaluru,Engineering,Lead Engineer,L4,2023-06-21,Tier-2,MGR0038,Active
200155,Female,28,Pune,Cloud,Cloud Engineer,L2,2025-03-11,Tier-2,MGR1190,Active
200156,Female,34,Noida,Cyber Security,Security Engineer,L2,2019-04-23,Tier-2,MGR1319,Active
200157,Male,26,Bengaluru,Finance,Finance Associate,L1,2020-08-08,Tier-2,MGR0351,Active
200158,Male,33,Hyderabad,Finance,Finance Analyst,L2,2022-07-17,Tier-3,MGR0716,Exited
200159,Male,35,Noida,Finance,Senior Finance Analyst,L3,2024-03-25,Tier-1,MGR1437,Exited
200160,Male,26,Noida,Marketing,Marketing Associate,L1,2023-09-26,Tier-3,MGR1348,Active
200161,Female,24,Pune,Data Science,Associate Data Scientist,L1,2025-09-03,Tier-3,MGR0977,Active
200162,Male,31,Chennai,HR,HR Specialist,L2,2023-02-09,Tier-2,MGR0956,Active
200163,Female,34,Hyderabad,Marketing,Senior Marketing Specialist,L3,2024-09-09,Tier-3,MGR0051,Active
200164,Male,35,Bengaluru,Data Science,Data Scientist,L2,2022-06-28,Tier-2,MGR0504,Active
200165,Female,33,Chennai,Cyber Security,Security Engineer,L2,2023-02-07,Tier-3,MGR0309,Active
200166,Female,43,Mumbai,Support,Support Director,L5,2025-09-27,Tier-1,MGR0053,Active
200167,Male,43,Noida,HR,HR Director,L5,2024-10-03,Tier-2,MGR1406,Active
200168,Female,40,Mumbai,Engineering,Senior Software Engineer,L3,2020-07-24,Tier-3,MGR0864,Active
200169,Male,43,Noida,Support,Support Manager,L4,2024-06-18,Tier-2,MGR0027,Active
200170,Female,28,Chennai,Cloud,Cloud Engineer,L2,2023-10-24,Tier-3,MGR0745,Active
200171,Male,32,Pune,Data Science,Data Scientist,L2,2025-05-11,Tier-3,MGR1314,Active
200172,Male,43,Mumbai,Cloud,Cloud Lead,L4,2023-06-14,Tier-2,MGR0713,Active
200173,Male,39,Bengaluru,Marketing,Marketing Specialist,L2,2018-03-04,Tier-2,MGR0022,Active
200174,Female,46,Noida,Data Science,Lead Data Scientist,L4,2020-04-28,Tier-3,MGR1335,Active
200175,Male,33,Mumbai,Cyber Security,Senior Security Engineer,L3,2020-12-22,Tier-3,MGR1160,Active
200176,Male,45,Noida,Engineering,Engineering Manager,L5,2024-10-18,Tier-2,MGR0677,Active
200177,Female,23,Noida,Engineering,Software Engineer,L2,2023-08-28,Tier-2,MGR0257,Active
200178,Female,43,Hyderabad,Data Science,Lead Data Scientist,L4,2021-02-10,Tier-3,MGR0287,Active
200179,Male,35,Chennai,Cloud,Cloud Engineer,L2,2018-02-24,Tier-2,MGR0023,Active
200180,Female,45,Mumbai,Cloud,Cloud Architect,L5,2023-11-05,Tier-3,MGR0695,Active
200181,Male,50,Noida,Data Science,Data Science Manager,L5,2018-11-09,Tier-2,MGR0076,Active
200182,Male,49,Pune,Sales,VP Sales,L5,2018-11-24,Tier-3,MGR0011,Active
200183,Male,26,Pune,HR,HR Associate,L1,2021-07-11,Tier-3,MGR0854,Active
200184,Female,31,Mumbai,Marketing,Marketing Specialist,L2,2025-11-01,Tier-3,MGR0718,Active
200185,Female,49,Noida,Cyber Security,Security Manager,L5,2020-06-28,Tier-1,MGR1435,Exited
200186,Female,43,Hyderabad,Sales,Sales Director,L4,2024-01-08,Tier-1,MGR0681,Active
200187,Male,30,Chennai,Cloud,Cloud Associate,L1,2018-03-23,Tier-3,MGR0029,Exited
200188,Female,27,Chennai,HR,HR Associate,L1,2021-11-10,Tier-2,MGR1196,Active
200189,Female,34,Noida,Cyber Security,Security Engineer,L2,2021-07-03,Tier-2,MGR0064,Active
200190,Male,48,Chennai,Cloud,Cloud Architect,L5,2021-10-19,Tier-3,MGR1190,Active
200191,Male,45,Pune,Marketing,Marketing Manager,L4,2018-05-08,Tier-3,MGR0049,Active
200192,Male,52,Mumbai,Engineering,Engineering Manager,L5,2018-08-25,Tier-3,MGR0043,Active
200193,Male,35,Mumbai,Finance,Senior Finance Analyst,L3,2023-08-14,Tier-3,MGR1065,Active
200194,Female,43,Pune,HR,HR Manager,L4,2023-12-16,Tier-3,MGR0956,Active
200195,Female,48,Mumbai,Support,Support Director,L5,2022-08-28,Tier-1,MGR0930,Active
200196,Male,47,Noida,Sales,VP Sales,L5,2023-09-06,Tier-1,MGR0201,Active
200197,Male,43,Hyderabad,Marketing,Marketing Manager,L4,2023-08-03,Tier-3,MGR1348,Exited
200198,Male,40,Hyderabad,Engineering,Senior Software Engineer,L3,2019-12-03,Tier-2,MGR1129,Exited
200199,Male,30,Pune,Finance,Finance Associate,L1,2019-11-24,Tier-2,MGR1478,Active
200200,Female,38,Pune,HR,HR Manager,L4,2025-06-16,Tier-2,MGR0041,Active
200201,Female,43,Pune,Marketing,Senior Marketing Specialist,L3,2018-02-24,Tier-3,MGR0051,Active
200202,Female,27,Noida,Finance,Finance Associate,L1,2022-11-21,Tier-2,MGR0525,Active
200203,Male,38,Pune,Cloud,Cloud Engineer,L2,2018-12-31,Tier-3,MGR0030,Active
200204,Male,39,Noida,Data Science,Lead Data Scientist,L4,2024-06-01,Tier-2,MGR1099,Active
200205,Male,46,Hyderabad,Marketing,Marketing Manager,L4,2018-05-11,Tier-2,MGR0052,Active
200206,Female,40,Mumbai,Cloud,Cloud Lead,L4,2025-01-15,Tier-1,MGR1190,Active
200207,Male,39,Noida,Engineering,Senior Software Engineer,L3,2022-03-01,Tier-3,MGR1258,Active
200208,Male,38,Pune,Marketing,Marketing Manager,L4,2025-06-01,Tier-3,MGR0992,Active
200209,Female,46,Mumbai,Finance,Finance Manager,L5,2024-11-18,Tier-3,MGR0869,Active
200210,Female,42,Noida,Support,Support Lead,L3,2020-02-17,Tier-3,MGR0140,Active
200211,Female,34,Hyderabad,Sales,Account Executive,L2,2018-09-07,Tier-3,MGR0024,Active
200212,Male,47,Bengaluru,HR,HR Director,L5,2022-03-02,Tier-2,MGR1223,Active
200213,Female,43,Pune,Cyber Security,Security Lead,L4,2019-09-07,Tier-2,MGR1304,Active
200214,Female,28,Pune,Marketing,Marketing Associate,L1,2021-01-26,Tier-3,MGR1089,Active
200215,Female,34,Hyderabad,Marketing,Marketing Specialist,L2,2018-12-30,Tier-3,MGR0054,Active
200216,Male,39,Chennai,Engineering,Senior Software Engineer,L3,2020-07-09,Tier-3,MGR1211,Active
200217,Female,44,Pune,Data Science,Data Science Manager,L5,2024-09-27,Tier-3,MGR1099,Active
200218,Male,46,Pune,Data Science,Lead Data Scientist,L4,2020-03-24,Tier-1,MGR1321,Active
200219,Male,51,Noida,Engineering,Engineering Manager,L5,2020-01-18,Tier-1,MGR1154,Active
200220,Female,32,Hyderabad,Support,Support Analyst,L1,2018-12-06,Tier-1,MGR0005,Active
200221,Female,45,Pune,Engineering,Lead Engineer,L4,2019-01-11,Tier-2,MGR1394,Active
200222,Male,32,Bengaluru,HR,HR Specialist,L2,2023-06-22,Tier-2,MGR0326,Active
200223,Male,27,Chennai,Support,Support Analyst,L1,2023-08-04,Tier-2,MGR0239,Active
200224,Female,38,Mumbai,Finance,Senior Finance Analyst,L3,2020-12-21,Tier-3,MGR0306,Active
200225,Female,44,Chennai,Sales,Sales Director,L4,2022-05-27,Tier-1,MGR0145,Exited
200226,Female,34,Noida,Finance,Finance Analyst,L2,2021-10-21,Tier-3,MGR1079,Active
200227,Male,24,Hyderabad,Support,Senior Support Analyst,L2,2024-12-28,Tier-1,MGR0301,Active
200228,Female,43,Noida,HR,HR Manager,L4,2019-12-28,Tier-3,MGR1237,Active
200229,Male,33,Hyderabad,Cyber Security,Security Engineer,L2,2023-03-30,Tier-3,MGR0309,Active
200230,Male,31,Mumbai,Data Science,Associate Data Scientist,L1,2018-01-03,Tier-3,MGR0078,Active
200231,Male,26,Noida,Marketing,Marketing Associate,L1,2024-07-04,Tier-3,MGR0801,Active
200232,Female,30,Pune,Data Science,Data Scientist,L2,2025-05-06,Tier-3,MGR1218,Active
200233,Male,32,Chennai,Data Science,Data Scientist,L2,2022-01-26,Tier-1,MGR0548,Active
200234,Female,27,Chennai,Data Science,Associate Data Scientist,L1,2024-07-03,Tier-2,MGR1030,Active
200235,Male,36,Mumbai,Data Science,Senior Data Scientist,L3,2022-09-08,Tier-3,MGR0859,Active
200236,Female,41,Hyderabad,Engineering,Lead Engineer,L4,2024-03-21,Tier-2,MGR0151,Active
200237,Female,36,Hyderabad,Marketing,Senior Marketing Specialist,L3,2023-06-20,Tier-3,MGR1288,Exited
200238,Female,23,Pune,Marketing,Marketing Specialist,L2,2023-11-10,Tier-3,MGR0942,Active
200239,Male,33,Noida,Support,Senior Support Analyst,L2,2022-09-13,Tier-3,MGR0662,Active
200240,Male,51,Chennai,Finance,Finance Manager,L5,2019-07-11,Tier-2,MGR1478,Active
200241,Male,42,Hyderabad,Sales,Sales Director,L4,2024-08-07,Tier-1,MGR0135,Active
200242,Female,38,Chennai,Data Science,Senior Data Scientist,L3,2019-08-12,Tier-3,MGR1073,Exited
200243,Male,44,Bengaluru,Engineering,Engineering Manager,L5,2025-12-23,Tier-3,MGR0036,Active
200244,Female,35,Pune,Finance,Finance Analyst,L2,2019-08-09,Tier-3,MGR1476,Active
200245,Female,27,Noida,HR,HR Associate,L1,2023-03-03,Tier-3,MGR0165,Active
200246,Male,27,Chennai,Engineering,Software Engineer,L2,2020-06-04,Tier-1,MGR1144,Active
200247,Male,41,Pune,Marketing,Senior Marketing Specialist,L3,2019-12-05,Tier-3,MGR0668,Active
200248,Female,33,Pune,Cyber Security,Senior Security Engineer,L3,2024-08-25,Tier-1,MGR0437,Active
200249,Male,44,Mumbai,Engineering,Engineering Manager,L5,2024-11-11,Tier-2,MGR0612,Exited
200250,Male,30,Noida,Data Science,Data Scientist,L2,2024-09-10,Tier-3,MGR0684,Active
200251,Male,25,Noida,Sales,Account Executive,L2,2022-12-29,Tier-3,MGR0318,Active
200252,Female,32,Mumbai,Cyber Security,Senior Security Engineer,L3,2025-12-06,Tier-1,MGR0614,Active
200253,Male,48,Noida,HR,HR Director,L5,2022-08-10,Tier-3,MGR0412,Active
200254,Male,26,Hyderabad,Engineering,Associate Software Engineer,L1,2023-06-04,Tier-3,MGR0350,Active
200255,Male,37,Chennai,Support,Support Lead,L3,2024-12-14,Tier-3,MGR1042,Active
200256,Male,42,Bengaluru,Support,Support Lead,L3,2019-06-04,Tier-1,MGR0906,Active
200257,Male,39,Chennai,Data Science,Senior Data Scientist,L3,2018-12-15,Tier-1,MGR0098,Active
200258,Male,34,Chennai,Cloud,Senior Cloud Engineer,L3,2025-08-13,Tier-3,MGR0077,Active
200259,Female,47,Chennai,Cyber Security,Security Manager,L5,2020-10-13,Tier-3,MGR1435,Active
200260,Female,40,Hyderabad,HR,Senior HR Specialist,L3,2019-01-30,Tier-3,MGR0966,Exited
200261,Male,41,Hyderabad,HR,Senior HR Specialist,L3,2018-12-04,Tier-3,MGR0015,Active
200262,Female,26,Pune,Finance,Finance Analyst,L2,2025-10-19,Tier-3,MGR0121,Active
200263,Female,33,Pune,Finance,Senior Finance Analyst,L3,2024-09-14,Tier-1,MGR0405,Active
200264,Female,31,Mumbai,Finance,Finance Analyst,L2,2025-06-13,Tier-2,MGR0887,Active
200265,Female,23,Chennai,Data Science,Associate Data Scientist,L1,2024-03-22,Tier-1,MGR0604,Active
200266,Female,33,Noida,Engineering,Software Engineer,L2,2020-07-06,Tier-1,MGR1050,Active
200267,Male,30,Hyderabad,Sales,Account Executive,L2,2018-05-23,Tier-3,MGR0026,Active
200268,Male,32,Pune,Engineering,Software Engineer,L2,2019-09-27,Tier-1,MGR1469,Active
200269,Female,32,Bengaluru,Support,Senior Support Analyst,L2,2021-07-11,Tier-3,MGR1048,Active
200270,Female,28,Mumbai,Cyber Security,Security Engineer,L2,2024-08-27,Tier-3,MGR0735,Active
200271,Female,30,Mumbai,Cyber Security,Security Analyst,L1,2019-02-14,Tier-3,MGR1282,Active
200272,Male,37,Mumbai,Data Science,Senior Data Scientist,L3,2022-04-10,Tier-3,MGR0611,Exited
